mode,sequence_id,variant,foot_sliding,stance_foot_velocity,stance_foot_acceleration
A,s5_freestyle1,original,0.10985258221626282,0.10985258221626282,1.4374444484710693
A,s5_freestyle1,refined,0.11365607380867004,0.11365607380867004,2.270888090133667
