method,mean_tran_delta_m,max_tran_delta_m,mean_pose_delta_deg,max_pose_delta_deg,q_deviation_acceptable
raw_q,0.0,0.0,0.0,0.0,True
savgol_q_w9_p3,0.0002143434376193909,0.012084992602467537,0.18788255006074905,33.8741340637207,True
savgol_q_w15_p3,0.0006817833491368219,0.016314800828695297,0.4510269556194544,87.44639587402344,True
bspline_q_knot10,0.775096632540226,3.692754030227661,17.99056077003479,934.3406982421875,False
bspline_q_knot15,0.49033869430422783,2.7429897785186768,16.470749139785767,712.5036010742188,False
bspline_q_knot21,0.26354291662573814,1.3576312065124512,14.49904727935791,987.574462890625,False
bspline_q_knot30,0.12188627384603024,0.7179804444313049,12.961216688156128,650.065673828125,False
