method,target_filter,overall_rmse,best_overall_rmse,delta_rmse_vs_raw,rmse_ratio_vs_best,lower_leg_rmse,lower_leg_delta_vs_raw,mean_tran_delta_m,max_tran_delta_m,mean_pose_delta_deg,max_pose_delta_deg,q_deviation_acceptable,bspline_refinement_supported
raw_q,centered_ma21,3.2902873175442124,2.751086330754644,0.0,1.1959956620633063,3.4394405546992872,0.0,0.0,0.0,0.0,0.0,True,False
savgol_q_w9_p3,centered_ma21,8.383680956330275,2.751086330754644,5.093393638786063,3.0474074414199017,9.248243165012605,5.808802610313318,0.0002143434376193909,0.012084992602467537,0.18788255006074905,33.8741340637207,True,False
savgol_q_w15_p3,centered_ma21,11.74752077929399,2.751086330754644,8.457233461749778,4.270138907662544,12.783386912218788,9.343946357519501,0.0006817833491368219,0.016314800828695297,0.4510269556194544,87.44639587402344,True,False
bspline_q_knot10,centered_ma21,2.751086330754644,2.751086330754644,-0.5392009867895684,1.0,2.092969923383875,-1.346470631315412,0.775096632540226,3.692754030227661,17.99056077003479,934.3406982421875,False,False
bspline_q_knot15,centered_ma21,2.7875748958023006,2.751086330754644,-0.5027124217419119,1.0132633297035238,2.147341328245424,-1.292099226453863,0.49033869430422783,2.7429897785186768,16.470749139785767,712.5036010742188,False,False
bspline_q_knot21,centered_ma21,3.030116509091541,2.751086330754644,-0.2601708084526715,1.1014254533627654,2.3159908180230793,-1.123449736676208,0.26354291662573814,1.3576312065124512,14.49904727935791,987.574462890625,False,False
bspline_q_knot30,centered_ma21,3.4720327368196204,2.751086330754644,0.181745419275408,1.2620588085533526,2.923896709873556,-0.5155438448257312,0.12188627384603024,0.7179804444313049,12.961216688156128,650.065673828125,False,False
