method,target_filter,sensor_id,sensor_name,sensor_group,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot10,centered_ma21,0,left_forearm,other,16028,4.4960887629871245,3.8020741079433096,0.8103365548765423,0.8234092769829732,1.937605757500246,4.4960887629871245,4.811703274540072,13.747624664721656,2.4066974752281505,4.484820802795725,2.1606447925097476,0.5515512174518308,2.37597579653354,3.607520236765453,0.13409228166506346,0.4118192960312334,2.026010778509783,3.1999191669505,0.905763295473606,0.48088376386313597
bspline_q_knot10,centered_ma21,1,right_forearm,other,16028,4.964646804781843,4.501740259735962,0.78874901785289,0.7751414243492774,2.3097212704924033,4.964646804781843,6.012426981024573,15.53993415138362,2.9674822299877626,5.96832788451454,2.657870895650006,0.42697702305924823,2.211681458205319,3.4299423382042646,-0.43194860919921085,0.45361459330096976,2.2278799432117267,3.6621788484320223,1.1522374822306176,0.5084363774843335
bspline_q_knot10,centered_ma21,2,left_lower_leg,lower_leg,16028,2.433335617577812,2.0589201802754364,0.9309561257421287,0.9400513936305841,0.7451096140612755,2.433335617577812,2.606978077864008,7.576056573269352,0.952741221888286,1.7248203426822044,-0.5550068730394521,0.5095919717484866,1.0738664953382608,1.7515015303258825,-0.348843479727018,0.2917746920141116,1.5757347962794548,2.5835429357709625,0.5268046575095832,0.5261035681605621
bspline_q_knot10,centered_ma21,3,right_lower_leg,lower_leg,16028,2.479601720234271,2.1264745217456924,0.8915304454514756,0.9350592649656985,0.7411448739782586,2.479601720234271,2.7234641513910103,7.912744547965544,1.0032287370189252,1.7947901997625226,0.3440872579846705,0.47790928776676017,1.0033978683101048,1.811877564782945,-0.19523475181519112,0.13991593390882934,1.6347514591731604,2.6573500905927587,0.5804178399174986,0.45018323255652043
bspline_q_knot10,centered_ma21,4,head,other,16028,1.355366641594797,1.027367737872362,0.9822451197339445,0.9837104479046151,0.5861492904452905,1.355366641594797,1.1530111332137973,3.4783644152023068,0.6993964044359449,1.049173714371625,-0.11429781764741137,0.9366842517848335,0.716659754689542,1.0887716803549035,-0.04033000304048225,0.885770349111555,0.5924828273023632,0.9382239346721711,0.1498351041750533,0.9008245818006723
bspline_q_knot10,centered_ma21,5,pelvis,other,16028,1.339085750158967,0.9342871282265411,0.9797576576163664,0.9866347221956556,0.4788528099299772,1.339085750158967,0.9085849809624794,3.1733167167595067,0.739028667438988,1.0158424312992491,0.10768402357339288,0.6201661434734611,0.49957543803113513,0.7906725426897203,-0.09506626568835982,0.7331602451507511,0.7435775094452105,0.9806010396272251,0.39216348958688607,0.8758673399187086
bspline_q_knot10,lowpass_5hz,0,left_forearm,other,16028,5.38370791627096,4.649244791917818,0.7485007673680498,0.7690348709861711,2.744398407496624,5.38370791627096,5.988499017099883,16.902034536541272,2.7973383933984186,5.415429560676436,2.160332267839168,0.4939783971158712,2.7868555998315703,4.418003386941977,0.1342265400034883,0.33878100285943913,2.4685736764868302,4.000100017730295,0.9062186972592672,0.38592616922659584
bspline_q_knot10,lowpass_5hz,1,right_forearm,other,16028,5.910114878247417,5.421460919715661,0.7311535612775802,0.7191861954375549,3.1985582914454103,5.910114878247417,7.297071853691113,19.09534381865623,3.3963856138990787,6.920229853659444,2.6574795132968583,0.3912428768787932,2.752778455345868,4.5025718674735895,-0.4326632713979435,0.3670545058080913,2.66982210772804,4.473698789901768,1.153001006719991,0.4216267442423327
bspline_q_knot10,lowpass_5hz,2,left_lower_leg,lower_leg,16028,3.2538417763084815,2.800462458730326,0.8831065434169171,0.8975513343685093,1.3530912881672796,3.2538417763084815,3.5972605748018007,10.565534672990648,1.4039086042937865,2.7006955201850844,-0.5550804485180059,0.3531090218484068,1.4581036075244143,2.471299325314486,-0.3490485675998786,0.1402906388434828,1.9303647120396308,3.1822465806763143,0.5269836582538723,0.45612767219128514
bspline_q_knot10,lowpass_5hz,3,right_lower_leg,lower_leg,16028,3.4200575269719975,3.0322362113106993,0.8091881260627573,0.8802905361334391,1.457121645886828,3.4200575269719975,3.9857967629764794,11.795117896884763,1.5510342058690558,3.01799988648454,0.3398328093676599,0.30603496770845967,1.43633515886865,2.6357970846451186,-0.19258449518515722,-0.004397622280833817,2.0407401869099338,3.3952348574593767,0.5770226184129598,0.392872221725467
