method,target_filter,sequence_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot10,centered_ma21,s5_freestyle1,18288,3.338156290697241,2.8343408401547294,0.8956232301963301,0.8918263840960722,1.2969401316993558,3.338156290697241,3.5996078360545747,11.105091323126677,1.829164209339754,3.302904449822275,1.0872798161801416,0.9039609543188948,1.542891864336595,2.5032060173213644,-0.13640268418411297,0.8514645255926893,1.6649863556944666,2.6315861803667744,0.6338164824718058,0.8634678424730524
bspline_q_knot10,centered_ma21,s5_freestyle3,21222,4.814975219799235,4.406240107087732,0.791279343295651,0.7825768051635161,2.233205655005337,4.814975219799235,5.921221941174374,15.925978695651574,2.7131323334036566,5.684395257882986,1.629915598996968,0.7690355459535345,2.1802552751468927,3.4365844280163453,-0.22248675790730593,0.7692871226853224,2.2194829705578853,3.757977336972443,1.2181350975450145,0.7778703306624518
bspline_q_knot10,centered_ma21,s5_rom3,34386,0.9752556296875964,0.8960707406798378,0.9879668986214694,0.9875991996000888,0.37534822719682115,0.9752556296875964,1.207354452375188,2.970346871378617,0.4662304353381849,1.065199977005196,0.21992652127803533,0.9883487160426336,0.3982806589269213,0.7069194846284901,-0.11796969635061144,0.9859131141094105,0.5594095433830611,0.8800239588489963,0.3775398489845573,0.9800719699427133
bspline_q_knot10,centered_ma21,s5_walking2,22272,3.4483282069142516,2.5187396821870456,0.913154038086529,0.9123053302972871,1.1202156305831377,3.4483282069142516,2.6722988862158816,8.616534111091415,1.5032806519010515,2.1458419123066816,0.5256783624023671,0.9656649168252994,1.7123796141532568,2.5563872160468915,-0.19719855714267667,0.7811678431727628,1.9875365766274784,2.8093407854674957,0.40385991360871304,0.8241828061078375
bspline_q_knot10,lowpass_5hz,s5_freestyle1,18288,4.568285292767842,3.754827832832089,0.8358006219088487,0.8322877994665919,2.233484556632863,4.568285292767842,4.6289270513276195,14.37735314968956,2.3515222116803898,4.040987391451626,1.086157166015259,0.8649168049769487,2.2604929190784553,3.6812117266745488,-0.13625130319644052,0.7404714040672509,2.2460356877679053,3.5235347718100276,0.6331778816913319,0.7819521619631781
bspline_q_knot10,lowpass_5hz,s5_freestyle3,21222,6.6907627245014485,5.712528096714577,0.7093598086404302,0.7018998517718444,3.7222567348942732,6.6907627245014485,7.289212984381946,19.745489222910283,3.5891835154685983,7.015456619355868,1.6295999864214938,0.7013374350639081,3.144270548825349,4.886947434994285,-0.22235781036481983,0.6452983494976721,3.1410746481441953,4.979964352964699,1.2177317008744775,0.6777413374074589
bspline_q_knot10,lowpass_5hz,s5_rom3,34386,1.126961042913807,1.0335441611299372,0.9840708453320771,0.9837090086312524,0.4688530874789394,1.126961042913807,1.3908987766088443,3.592501084017061,0.5404491092018886,1.1968859032231274,0.21884146083413356,0.9852671771802067,0.49015943488337604,0.8787371652053042,-0.11760824013875305,0.9785613866923928,0.6168998414710519,0.9999628633954665,0.3772357653301772,0.9735975805705005
bspline_q_knot10,lowpass_5hz,s5_walking2,22272,4.27706083623614,3.074704658126347,0.878637558076062,0.8778226855146724,1.9798239978435246,4.27706083623614,3.17303904912098,10.325425045861738,1.8428424433906347,2.8814574328557168,0.5250698381924671,0.9364527271884686,2.104237682931355,3.0152269185242897,-0.19676920914798104,0.7153797990249131,2.37664909774623,3.311651536100775,0.4032661722524101,0.7747001248131233
bspline_q_knot15,centered_ma21,s5_freestyle1,18288,3.4892163105613343,2.8953081177522266,0.8909951458133718,0.8870482339506947,1.3997824291021508,3.4892163105613343,3.6019157164318227,11.240631020936634,1.894401783343186,3.3539105634652064,1.1110617430468213,0.9007121280735203,1.6328420573433018,2.5947232545762535,-0.12071909099606286,0.8422493613571584,1.7316646562457154,2.677148194367196,0.6483290655373467,0.8592490017991836
bspline_q_knot15,centered_ma21,s5_freestyle3,21222,4.9712332360623845,4.463149583108853,0.785966313099559,0.7765412064197594,2.302250225931831,4.9712332360623845,5.919962222538494,15.844584634559185,2.7574307636204263,5.715769981691924,1.6549460305460046,0.7662446816917888,2.2674549053742235,3.5299921988318483,-0.17905948699205193,0.7570461179916319,2.326734803668183,3.824688378965009,1.2637027895604704,0.7710367836387794
