comparison_space,method,sequence_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
model_world_linear_acc,raw_fd,s5_freestyle1,15350,2.7923383429872706,2.2771790772228706,0.8715901502725888,0.871521255362517,1.392321161600347,2.7923383429872706,2.785584360149216,7.3412937703893775,1.5217519249472198,2.3782977294207415,-0.1645524868125199,0.8199683879835816,1.1268127855648824,1.9931030492422286,0.042742513709425535,0.9133861670027591,1.5145077883842908,2.434722529274802,0.2967978544703136,0.8672485494373315
model_world_linear_acc,raw_fd,s5_freestyle3,17795,4.50924083735206,5.0980990097727386,0.7749801136342707,0.7749811519744689,2.527150191088267,4.50924083735206,7.592008140873785,13.256766261152286,2.2683402399043415,4.668011388911026,-0.050366696808932035,0.7809262435692849,2.06247400681803,4.730286184507001,0.03291145768785919,0.811880863932758,2.3965946228259374,5.814284377805791,0.03610771174319392,0.7410060764775768
model_world_linear_acc,raw_fd,s5_rom3,28765,1.233630200906805,1.7464016886722178,0.49856959948399593,0.4981891235874921,0.6647338197732263,1.233630200906805,2.7618676836521616,2.75306802254149,0.6007826660958542,0.9699832365159616,-0.0030135211442523877,0.6034414355988745,0.4726498172736139,2.1073314666182035,0.0042848628229956495,0.4781412027529003,0.7233102626286547,1.9411448130601465,0.15252151662992453,0.4952935277600037
model_world_linear_acc,raw_fd,s5_walking2,18670,3.747661640249957,3.7810328144892296,0.628244245203004,0.6282523844787019,1.958074456721143,3.747661640249957,5.3706293544548425,11.000764260565743,2.026261801757996,4.260353367681584,-0.040837701160837826,0.6239744061308756,1.6085993869712025,3.2584262970156144,0.04106687595324524,0.6018563827920802,1.9838281881671755,3.7577486188054583,0.017991699681512065,0.662296883868987
model_world_linear_acc,savgol15_p3_fd,s5_freestyle1,15350,2.7112281438539454,2.3823738321613677,0.8556710264008132,0.8556015606407772,1.4656322110591762,2.7112281438539454,3.1106843588631765,8.04337877666893,1.4537891500170195,2.4614877448351447,-0.16427715985426006,0.7970478542787103,1.1131103476321973,2.0487174916039077,0.04256621159000341,0.908491631373635,1.479503194944939,2.60210490759391,0.29909142863782007,0.842202514488848
model_world_linear_acc,savgol15_p3_fd,s5_freestyle3,17795,4.2797946002560545,4.8814224476513735,0.7767792804623489,0.7767786518683567,2.562575410225782,4.2797946002560545,7.291653688767955,13.867083704289438,2.0996349481716607,4.4015390352090895,-0.04826837994532995,0.7918037080327427,2.080628657940462,5.393236915051375,0.028714603319739015,0.7402085939849581,2.207027852479248,4.798364829497853,0.06617956683531626,0.8001732210875483
model_world_linear_acc,savgol15_p3_fd,s5_rom3,28765,0.7393550210989592,0.7518145013020165,0.8162414782671911,0.8155851359071917,0.42237993779771815,0.7393550210989592,1.0719278361343905,2.105741276220651,0.36011283067693683,0.6840378712277757,-0.002971991408045175,0.7450504406742698,0.2872759614742411,0.7557062603182408,0.000558911373222973,0.8429811167591257,0.4291510309340546,0.8103550900352212,0.1594038190368052,0.8286569236587088
model_world_linear_acc,savgol15_p3_fd,s5_walking2,18670,2.7906046514185734,2.7076644985111904,0.7580858861518445,0.7580829375665117,1.550028040842674,2.7906046514185734,3.7691997544538007,9.70882056144368,1.4246741858970955,2.5728324863127945,-0.022185696243250123,0.8074206854689653,1.3395930477083289,2.9664402625629007,0.041715422910989834,0.6332224102028595,1.411649154311113,2.5641970040371005,0.03570112514159436,0.7968529156397944
model_world_linear_acc,savgol9_p3_fd,s5_freestyle1,15350,2.5486686719590588,2.213663427552213,0.8768067969957991,0.8767341364287398,1.3137332925349252,2.5486686719590588,2.8644729553656263,7.314977981402219,1.3761575402549986,2.2710277674853216,-0.1626377549818459,0.8306304819039348,1.042064139313923,1.9397342380273075,0.04271255439092748,0.9179319544656294,1.3839653897961353,2.404325534652472,0.29842052285574644,0.8677514280029424
model_world_linear_acc,savgol9_p3_fd,s5_freestyle3,17795,4.007328810385214,4.644603138937946,0.8004107849639016,0.800411067344046,2.2798574617061815,4.007328810385214,6.975552362369111,12.84222223352466,1.9640257984503422,4.148946809928407,-0.0487146249388997,0.817404595975321,1.943387500183716,5.1478390972350825,0.029405910000895878,0.7669332227671641,2.0651375399941716,4.582903877680553,0.05356565897781365,0.8192948590733952
model_world_linear_acc,savgol9_p3_fd,s5_rom3,28765,0.7577831895232011,0.7703204001512792,0.8113912927017234,0.8107533753459397,0.4028368288419194,0.7577831895232011,1.0981553598392737,2.0928201219065414,0.3664648558914515,0.6785119506586318,-0.0034623833827923042,0.7539247504631625,0.29382619877061267,0.7918777718341168,0.0004949205926466165,0.8318688232210313,0.44365992379395364,0.8323050426112615,0.1585377581327229,0.8233912797992992
model_world_linear_acc,savgol9_p3_fd,s5_walking2,18670,2.7608885578940763,2.6359024098661847,0.7743514267532058,0.7743529572333196,1.4578031314371345,2.7608885578940763,3.636129661316363,9.077480108026203,1.4354518496057784,2.5522220827572784,-0.02868863347963688,0.8129137316561167,1.30252193126176,2.824504601501941,0.04123500118652647,0.6766112316326159,1.4124503701062294,2.5203731349535414,0.028678249376095196,0.8067246557527485
sensor_specific_force,raw_fd,s5_freestyle1,15350,2.7923382974319866,2.2771790127375837,0.9502798319726806,0.9501129832304602,1.1556628679199945,2.7923382974319866,2.7855842476672983,7.341291762180313,1.1542501777482908,1.9009692640964295,0.16624972844243535,0.9748415281041118,1.4422424082931256,2.3257843065809856,-0.06628070771029915,0.8980615694557808,1.5702556011566975,2.556105628564641,0.44842907203805626,0.9215233162854534
sensor_specific_force,raw_fd,s5_freestyle3,17795,4.5092407253140205,5.098098867342455,0.8530801550651803,0.8550486941948625,2.336977691266007,4.5092407253140205,7.592007920488806,13.256758879783595,2.059312255447814,5.279005869378333,0.008960198735890294,0.8926948721214584,2.381904096116412,4.9600604337401295,-0.16976660651000147,0.7536590763344341,2.294325012279575,5.049924128965708,0.27629271305945863,0.8131699523299483
sensor_specific_force,raw_fd,s5_rom3,28765,1.2336301763337276,1.7464018239128638,0.9565530748518115,0.9567053790113353,0.4830754871189642,1.2336301763337276,2.7618679511767668,2.7530676370006195,0.48168239881998326,2.007924481637717,-0.024522763347419055,0.964528927100224,0.6447647473051393,1.3055265806227476,-0.09546081462479955,0.905987018605786,0.6952679342415345,1.8475923833535137,0.2397818195640966,0.9185763934895328
sensor_specific_force,raw_fd,s5_walking2,18670,3.7476616191300973,3.781032917085917,0.8590449447268109,0.8602866710619492,1.6915504833383161,3.7476616191300973,5.3706295858829165,11.00076412791297,1.5945797936021624,3.175953541135091,-0.06671107481400886,0.9304020496442975,1.9535455108076045,3.6691906487220467,-0.09344611546109283,0.5552462382677981,2.0248438440942027,4.397611720939434,0.19803541961079452,0.7722116347133349
sensor_specific_force,savgol15_p3_fd,s5_freestyle1,15350,2.7112279907204537,2.382373691938761,0.9449716122846976,0.9447965446644345,1.1807129485609358,2.7112279907204537,3.110684170156092,8.04337806290562,1.1509785881628032,2.0435716831249,0.1748923529697484,0.9711672275275485,1.4296271271519096,2.5777090387191115,-0.05803505658160031,0.8688104872080888,1.459698507555873,2.491253522177464,0.47685724609535823,0.924308644676509
sensor_specific_force,savgol15_p3_fd,s5_freestyle3,17795,4.279794318270005,4.881422119059247,0.8585177236664987,0.8605580494265882,2.3176390859130516,4.279794318270005,7.291653194346697,13.867079335741916,1.9873715100890283,5.504098122927386,0.04670940228046824,0.8801870836719333,2.316792799571014,4.669643771205887,-0.15718479728640203,0.7643000024138186,2.0550149811865173,4.402746485609623,0.3531317231671421,0.8446290002392196
sensor_specific_force,savgol15_p3_fd,s5_rom3,28765,0.739354866158014,0.7518144060606236,0.9915569059488738,0.9915732681638884,0.2896376989122844,0.739354866158014,1.0719277426064362,2.1057418751919537,0.27520533342445763,0.6816462104559475,-0.023062683279185665,0.9957249485158033,0.3895407663023512,0.7905785089057581,-0.09538808582869074,0.9634851033472319,0.41868974221927874,0.7784720730432525,0.24220579675541004,0.9862333470677526
sensor_specific_force,savgol15_p3_fd,s5_walking2,18670,2.7906044202430818,2.707664253247321,0.9213349318056429,0.9220937070209635,1.361733339743519,2.7906044202430818,3.76919939704175,9.70882096789063,1.2597596113441085,2.6628808014186043,-0.059779719064654666,0.9509620044976375,1.481997294684023,2.669276607462581,-0.07267949108432242,0.6451281739336817,1.420609671887885,2.788972096531155,0.2261021672495401,0.8912591875678507
