comparison_space,method,sensor_id,sensor_name,vertex_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
model_world_linear_acc,raw_fd,0,left_forearm,1961,16116,2.287893146006505,2.8810431535547165,0.8475782690375613,0.8475593912887519,1.1973548308738085,2.287893146006505,4.434723656598004,6.245074242804577,1.206723913215896,3.176196451009567,0.029949544955781907,0.8070186139162726,1.00189931331201,2.261737835409288,0.08721662032586465,0.9044442778915502,1.2110251671786945,3.114088474402398,-0.01665703148749137,0.833203103310262
model_world_linear_acc,raw_fd,1,right_forearm,5424,16116,2.5773825087110938,3.075531240491548,0.8703055204025768,0.8702826860332897,1.2797234926001377,2.5773825087110938,4.6619498750532,6.73472556864721,1.3466124815855256,2.9210062018947816,-0.34425085289836055,0.8635773059010771,1.0924290253302986,2.910335974859941,0.05213488643209051,0.887174491114774,1.4261357262103014,3.3725872139422424,0.4201246659288987,0.8636753260733472
model_world_linear_acc,raw_fd,2,left_lower_leg,1176,16116,3.7262379595450117,3.918604882347921,0.5825891741521653,0.5825543012238603,1.9784049755634963,3.7262379595450117,5.672877871127558,12.03677755395104,1.957418498751361,3.8988739859493484,0.12121877959258133,0.6026378454568371,1.5254179411104283,3.683993511333169,-0.06007499786102615,0.5437402453627618,2.0394610858852444,4.158529322011022,0.1092609621319281,0.5940352800542874
model_world_linear_acc,raw_fd,3,right_lower_leg,4662,16116,3.644289609239375,4.112416418645494,0.6275821952154227,0.6275702705412481,1.9965207918076673,3.644289609239375,6.120053892330118,11.953877515011055,1.8591108980915583,3.7291654402523915,-0.0114959474549795,0.6551212926556005,1.5923427741768401,4.207833331452985,0.05861253978360466,0.601335835563679,1.964448734121404,4.373027575373332,0.1325540152831675,0.633231626356047
model_world_linear_acc,raw_fd,4,head,411,16116,1.946285993306493,2.3698611542769115,0.6386685626878693,0.6385936087180777,1.1194209472376417,1.946285993306493,3.6139585642216536,5.459103000884207,1.0039135485211226,2.103789439083927,-0.06045502249946525,0.6089625987000173,0.8456562773173605,1.9630307301484509,-0.005614934251041559,0.7855211095944771,1.0369627839039857,2.9273377017597166,-0.029647823106002856,0.4962110032834296
model_world_linear_acc,savgol15_p3_fd,0,left_forearm,1961,16116,1.590596264265963,1.7416934194587976,0.9367551483307611,0.9367260614932629,0.8433382500570686,1.590596264265963,2.563296983625074,4.6807545778818636,0.7725551318269538,1.5564655064731103,0.03464726968785135,0.943686948237302,0.8074619581983105,2.0894968079258573,0.08553553103574718,0.9159058538236889,0.7916562595106726,1.5204953531613623,-0.0035777739465299536,0.9528421097646173
model_world_linear_acc,savgol15_p3_fd,1,right_forearm,5424,16116,1.9736368160365056,2.30332379753337,0.9182128297897514,0.9181823793799591,0.9855515499963992,1.9736368160365056,3.467082241198774,5.701209635502487,0.9778638904656292,1.8956538814845902,-0.34049430168396777,0.9349004882244292,0.9038860978754476,2.491502464789954,0.049926002067302834,0.9107022309305111,1.063073847614151,2.4728148694167587,0.43313908916716615,0.9168397286791767
model_world_linear_acc,savgol15_p3_fd,2,left_lower_leg,1176,16116,3.5124914343868294,3.7499280386332616,0.5650381741370686,0.5649842449705127,2.124860330226588,3.5124914343868294,5.463358381814509,12.18818825923777,1.8666092967486818,3.7881697256029545,0.12614250306258953,0.5785975987406052,1.4705922069769102,3.764343749197995,-0.06212888141369577,0.45217671831758965,1.9068272143181555,3.696669738113336,0.1249015323109125,0.6309047002477587
model_world_linear_acc,savgol15_p3_fd,3,right_lower_leg,4662,16116,3.6119111434722297,4.217229992823539,0.5701413125789139,0.5701377906498913,2.204022544128014,3.6119111434722297,6.348951435376743,12.93912220337096,1.8223591388791378,3.808219231014183,-0.004797895619443223,0.6095454805717085,1.620610258909306,4.614374392117039,0.056014036427333595,0.46584123148785306,1.9235040147242835,4.190477502029991,0.14489545492889008,0.6254959009837157
model_world_linear_acc,savgol15_p3_fd,4,head,411,16116,1.171902499173473,1.0164049182185557,0.8739415168632695,0.8738672668291512,0.617312104569979,1.171902499173473,1.313728056245879,3.5172660516262764,0.5568882916822785,0.8931184297925039,-0.05626988288088056,0.8578118185733676,0.6196836575340562,1.1368503335064066,-0.007773608855069143,0.89930958938511,0.5624227661583513,1.0045634190572295,-0.015534172253671652,0.8389167639061504
model_world_linear_acc,savgol9_p3_fd,0,left_forearm,1961,16116,1.5389338057868571,1.6517989944090443,0.9423884593065116,0.9423611953895511,0.7812495898475642,1.5389338057868571,2.4118462834929115,4.296641100006652,0.7791521554305635,1.5025554116448308,0.0341927747913195,0.9467872407352655,0.7410260882940223,1.9285988335810444,0.08608696970458289,0.9276843827041319,0.7749369011169726,1.485985709163738,-0.007216911000373213,0.9544730662523885
model_world_linear_acc,savgol9_p3_fd,1,right_forearm,5424,16116,1.926772432739259,2.2542376363906067,0.9220038181726729,0.9219751793903365,0.9090167156433755,1.926772432739259,3.3959254933516676,5.289021287731405,0.9839669826520724,1.8512445942560867,-0.3417243137407829,0.9385256254214934,0.8289691555624178,2.40649498028794,0.050870162316972584,0.916614488559984,1.063032965598185,2.4548803078859653,0.4293153617773427,0.9188167351785185
model_world_linear_acc,savgol9_p3_fd,2,left_lower_leg,1176,16116,3.3345970212991007,3.589078175199467,0.6151590024838158,0.6151123336484082,1.8833507122686954,3.3345970212991007,5.246418697418513,11.534712815017475,1.7457696768726467,3.61033268453037,0.12491621780909642,0.6301838855206444,1.4270577357791143,3.609688609409779,-0.06210959719558246,0.5204637868821815,1.8002077652786141,3.546842609024036,0.11802765155616998,0.6683808411120046
model_world_linear_acc,savgol9_p3_fd,3,right_lower_leg,4662,16116,3.345534369009552,3.9564232174754412,0.6371193282561337,0.6371115135572172,1.935672646406608,3.345534369009552,5.980573033841491,12.141938895314915,1.6718637432739971,3.5378652967982123,-0.007705657384454276,0.6762582113685435,1.5511343607678547,4.403422659347649,0.05527606547677685,0.5356683984913851,1.7582621552939135,3.879849488342395,0.14002874809656857,0.6912992074729438
model_world_linear_acc,savgol9_p3_fd,4,head,411,16116,1.257482246934263,1.1182984749992064,0.8616843771840409,0.861598126774667,0.6672215927859607,1.257482246934263,1.4732660439315803,3.77375079512876,0.615667455309784,1.0254861001418605,-0.057791365408530464,0.8348612548766372,0.6235835809500083,1.1293803618218035,-0.008318577879902506,0.9062870783777391,0.6301994144610947,1.1935881594183742,-0.020579431226098396,0.8018789135110127
sensor_specific_force,raw_fd,0,left_forearm,1961,16116,2.287893104549801,2.8810432374062804,0.9217988187517147,0.9298752900663656,1.0895622109751681,2.287893104549801,4.434723841409616,6.245075525608748,0.9587279966966841,2.534675596279105,0.06023680097303293,0.9131948791037144,1.2328103663251302,2.776923939336071,-0.027624580759011193,0.8357673426283508,1.220427047543595,3.2810582841794784,0.22425159654681778,0.7845650533251048
sensor_specific_force,raw_fd,1,right_forearm,5424,16116,2.57738254941558,3.0755313710609813,0.9309499769246579,0.930890053327284,1.1047878219428071,2.57738254941558,4.661950110963089,6.7347252192924305,1.1347844171657095,2.7141841599043803,0.2139885654164138,0.9302118762778113,1.275690548396635,3.002061638444683,-0.06261258673293246,0.8403672698868121,1.4432697874716633,3.46374218270409,0.46208318424675665,0.8117021309470452
sensor_specific_force,raw_fd,2,left_lower_leg,1176,16116,3.72623774077551,3.9186048063539287,0.8334793937460429,0.848760636336439,1.6330396284164992,3.72623774077551,5.672877857345473,12.03677733580328,1.3958384867749585,3.426205889012751,-0.32474281122963705,0.6884394428927154,2.0134388808234744,3.917703648770398,-0.24834565351835358,0.5171419482725824,2.099943223679011,4.356501143308216,0.34186572917270364,0.5929004673341741
sensor_specific_force,raw_fd,3,right_lower_leg,4662,16116,3.644289507303606,4.112416306636708,0.7896701866620117,0.8450480424654302,1.742749930373969,3.644289507303606,6.120053727234047,11.953878672527704,1.607610038543411,4.311478548468746,0.07756152148149835,0.6563777228330712,1.8664752354028387,3.745588137797324,-0.1501869897080707,0.5810136459702011,1.965876858817307,4.256480455183638,0.34934773562424876,0.6394730568727407
sensor_specific_force,raw_fd,4,head,411,16116,1.9462860793368986,2.3698611730906314,0.9248152740215226,0.929841384116105,0.9328919886808513,1.9462860793368986,3.6139585549016635,5.459104109913101,0.9833071647370392,2.9958991589809956,0.020144246368774855,0.731158947473683,1.0292914098996095,2.2033195877217078,-0.04045424826273967,0.79479618082609,0.8861540783290074,1.737439772408333,0.012043489863183909,0.8745690117936565
sensor_specific_force,savgol15_p3_fd,0,left_forearm,1961,16116,1.5905960942602901,1.74169320241905,0.9688868686808255,0.9725342333984167,0.8191264444897927,1.5905960942602901,2.563296646699732,4.680754664869564,0.783940655949645,1.9997806575619406,0.08035920072380674,0.9441057642021282,0.8504684684631054,1.7319079816499352,-0.054091871421504234,0.9270573529372466,0.7343574774152071,1.4497784999083683,0.23081127121916287,0.9426884180357298
sensor_specific_force,savgol15_p3_fd,1,right_forearm,5424,16116,1.9736366644092302,2.303323621574481,0.9587687460371294,0.958627832000728,0.856936354709828,1.9736366644092302,3.467081976822664,5.701211745178702,0.9132999543931686,2.5075070294400796,0.2455756739354949,0.9367827871591156,0.978366187430474,2.0651098212969217,-0.04068854884984052,0.9114733187954792,1.0616467913918148,2.315951001295262,0.4764047824420886,0.8949915227981969
