comparison_space,method,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
model_world_linear_acc,raw_fd,80580,2.836417843361696,3.3359549451016473,0.7462719134480437,0.7462583361898213,1.5142850076165506,2.836417843361696,5.033936829669577,8.737760702505778,1.4747558680330928,3.2296849496506614,-0.05300669966088841,0.7359287594276065,1.2115490662493875,3.121431489141629,0.02645482288589842,0.7749147510032703,1.535606699459926,3.634774652140003,0.1231269577501,0.7320081150395527
model_world_linear_acc,savgol15_p3_fd,80580,2.372107631467,2.87119712136756,0.7895439306202313,0.7895212623103048,1.3550169557956098,2.372107631467,4.370860797827369,8.459226395591974,1.1992551499205362,2.6708243155364686,-0.048154461486770134,0.7951659459490761,1.0844468358988062,3.076645738980421,0.02431461585232374,0.7654972702703239,1.2494968204651227,2.8517130293212993,0.13676482604135343,0.8080788878404784
model_world_linear_acc,savgol9_p3_fd,80580,2.2806639751538067,2.7420935630247207,0.8104620000596199,0.8104422573035677,1.2353022513904408,2.2806639751538067,4.166029663550233,7.712499444617952,1.1592840027078128,2.541156980813546,-0.049622468786670336,0.8170294264972692,1.0343541842706836,2.9395984258557832,0.024361004484569473,0.788779744819034,1.205327840349756,2.7310279417672776,0.13191508384072193,0.8260635117701511
sensor_specific_force,raw_fd,80580,2.8364177962762795,3.3359549408641245,0.8959831161856424,0.8966577286482468,1.3006063160778591,2.8364177962762795,5.033936847775755,8.737759007621131,1.2160536207835604,3.2586660421357556,0.009437664602016583,0.9326557447536696,1.4835412881695373,3.1923699732052992,-0.10584481179622152,0.7754227794880287,1.5231341991681167,3.5462170946567526,0.27791834709074215,0.8438314095454093
sensor_specific_force,savgol15_p3_fd,80580,2.3721074311509964,2.8711969133408712,0.9194832681888284,0.9200570680430916,1.1556381379555285,2.3721074311509964,4.370860496585617,8.45922634166702,1.0482599988841192,3.0487045743736605,0.021547604767978304,0.940261890253446,1.2663953078255876,2.8204909280043995,-0.09665805378066118,0.8051974800256466,1.2104958636172882,2.73524157777196,0.3076708233747993,0.899243844362236
sensor_specific_force,savgol9_p3_fd,80580,2.280663809741867,2.7420933915290977,0.926891009200839,0.9274079393833878,1.0716078168601284,2.280663809741867,4.166029415467007,7.712499016581381,0.9905369443639339,2.9053957713172385,0.013524176260757428,0.9457945898197723,1.213226170338309,2.661271502569241,-0.10226345701638921,0.8295148114662579,1.1893533010012984,2.6520818059078444,0.29263004067253107,0.9057758992940725
