source,solution_type,bias_mode,comparison_space,method,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,80580,2.714020553759784,3.182137817595276,0.7604918899484938,0.7604777987047159,1.470051182386637,2.714020553759784,4.797092421903034,8.212510404263707,1.4244329602861932,3.037863345692483,-0.05314397893297158,0.7558311774824512,1.1624168956944,3.000838700128612,0.026692269379668333,0.7869152314323095,1.453521140299684,3.484875415164591,0.12394189705249763,0.74383190968361
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,80580,2.278729952850116,2.811195361791576,0.799262182870032,0.7992383448736564,1.3038079246327723,2.278729952850116,4.303004518758854,7.976480303635476,1.1562840209750238,2.6078317315761326,-0.04806916192381419,0.8057809761985004,1.0474886241289663,3.03473156610963,0.024567141911473987,0.7726915687713738,1.1907573044081408,2.7745406949471527,0.1372716207199629,0.8194154477316118
accfit_global,projected,no_bias,model_world_linear_acc,savgol9_p3_fd,80580,2.1455372772699173,2.6408583060481194,0.8255809274770413,0.8255596736138122,1.1763260401010502,2.1455372772699173,4.039686568251951,7.080669213899554,1.1004190080041611,2.4357667565158834,-0.04971855802092929,0.8333362022299897,0.9688140884263695,2.854541875480928,0.02477858546362174,0.802248073100142,1.126398792331375,2.6155360381474297,0.13280664528698122,0.8417735129919997
accfit_global,projected,no_bias,sensor_specific_force,raw_fd,80580,2.714020456191853,3.1821377762336116,0.9039559892435663,0.9045597424584383,1.2557005840902147,2.714020456191853,4.79709239479199,8.212511743128614,1.1806530655384075,3.1883303473536295,0.10052796904314021,0.9354359842848577,1.4549766558534738,3.133021567796053,-0.11007377455280833,0.7800038773089941,1.4038686656099861,3.2243957469063296,0.23960628199991016,0.8657151201544067
accfit_global,projected,no_bias,sensor_specific_force,savgol15_p3_fd,80580,2.278729809020462,2.8111951687550576,0.9229134847045056,0.9234978422574588,1.11190708399007,2.278729809020462,4.303004216588325,7.9764790174017035,1.008423990875677,3.003718206528141,-0.00081626184488887,0.9419319448292197,1.2327187021661576,2.7750727810463083,-0.06128559383190042,0.8120239497647546,1.142345130764345,2.6429345103809534,0.19336276767348806,0.9056099966149576
accfit_global,projected,no_bias,sensor_specific_force,savgol9_p3_fd,80580,2.145537155499417,2.6408581404497675,0.9323431606960518,0.9328481533959121,1.0061365208463822,2.145537155499417,4.03968630815697,7.080669641873152,0.9290747888527303,2.830472636927753,0.011836313154445449,0.9486138222332056,1.1601039575661585,2.5681837657668454,-0.060270691236029114,0.8420140671289911,1.1005667775718975,2.5130165042821124,0.17575373333898622,0.9149958476564524
accfit_loo,projected,no_bias,model_world_linear_acc,raw_fd,80580,2.751710492471043,3.2359412823879263,0.7514573029512831,0.7514436148988318,1.5006313454285682,2.751710492471043,4.882830871002192,8.318939065671273,1.4431638018410553,3.116163738052261,-0.053136736442199496,0.7427850812186236,1.1812793529079522,3.0486402930874408,0.02669182166579226,0.7792703122924175,1.4729868512749986,3.522678507925345,0.12395891715751878,0.7368090984035466
accfit_loo,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,80580,2.281525792540489,2.813506236665641,0.7989139964357892,0.798890214082084,1.302845654986817,2.281525792540489,4.306052959409798,7.976357387646433,1.1571295209477888,2.6092363523803033,-0.048079734304985716,0.8055724995185592,1.0490833248918126,3.036951539584756,0.02456930705722256,0.7723168896796647,1.1926682034236018,2.77781623490473,0.13728103574659406,0.8189821751259458
accfit_loo,projected,no_bias,model_world_linear_acc,savgol9_p3_fd,80580,2.1493803636270257,2.6428558999937257,0.8252386629078617,0.8252174632662617,1.1767406029128462,2.1493803636270257,4.041562318813047,7.106921904747996,1.1022054452453418,2.4371826835045423,-0.04973076794408729,0.8330502385264345,0.9708216162714215,2.8568550601379807,0.02478873218095578,0.8018714692062856,1.128773195681699,2.6177436194143526,0.1327956694643829,0.8414064046396095
accfit_loo,projected,no_bias,sensor_specific_force,raw_fd,80580,2.7517103939313428,3.235941234087251,0.9005508842373673,0.9011699746421994,1.282427017728738,2.7517103939313428,4.882830830504839,8.318936454010355,1.1980842473425042,3.2169565316292146,0.11746195785692054,0.9340968104943802,1.4739569182290577,3.1799061938316617,-0.11700630275464982,0.7737517628671553,1.4226274693212528,3.309582191672769,0.24175643648345796,0.8589684544289878
accfit_loo,projected,no_bias,sensor_specific_force,savgol15_p3_fd,80580,2.2815256406608033,2.813506037116423,0.9227844151120365,0.9233662836932333,1.1140408535485509,2.2815256406608033,4.306052648735149,7.976359537300159,1.0089665591235637,3.006555717911333,0.00801804189377837,0.9418272522483294,1.2341030990074628,2.7768391588801276,-0.06160033804677984,0.811717628847348,1.144260114019569,2.6452288489800377,0.19942082331769642,0.9054942197482905
