mode,method,sequence_id,fit_sequences,sensor_id,sensor_name,mapped_joint_id,rJS_x,rJS_y,rJS_z,rJS_norm,rJS_projected_x,rJS_projected_y,rJS_projected_z,rJS_projected_norm,rJS_was_projected,bias_x,bias_y,bias_z,bias_norm,condition_number,residual_before_fit,residual_after_fit,residual_after_projected_fit,residual_after_with_bias_fit,fit_improvement,projected_fit_improvement,with_bias_fit_improvement,num_frames,valid_frame_ratio,orientation_residual_deg
per_sequence,raw_fd,s5_freestyle1,s5_freestyle1,0,left_forearm,18,0.2137104570865631,0.06787708401679993,0.002112728776410222,0.2242407649755478,0.2137104570865631,0.06787708401679993,0.002112728776410222,0.2242407649755478,False,-0.3685072958469391,0.409500390291214,-0.9838217496871948,1.1275608539581299,1.2543456554412842,5.964944362640381,2.675529956817627,2.675529956817627,2.5511279106140137,0.5514577031135559,0.5514577031135559,0.5723131895065308,3070,1.0,8.742527961730957
per_sequence,raw_fd,s5_freestyle1,s5_freestyle1,1,right_forearm,19,-0.22147244215011597,0.061652567237615585,-0.000182372925337404,0.22989371418952942,-0.22147244215011597,0.061652567237615585,-0.000182372925337404,0.22989371418952942,False,-1.0369555950164795,-0.5065363049507141,-1.6924669742584229,2.048487424850464,1.285110592842102,7.012084007263184,3.2165331840515137,3.2165331840515137,2.6448044776916504,0.5412871241569519,0.5412871241569519,0.6228219270706177,3070,1.0,9.325545310974121
per_sequence,raw_fd,s5_freestyle1,s5_freestyle1,2,left_lower_leg,4,0.009243692271411419,-0.18688930571079254,0.03565465286374092,0.190484419465065,0.009243692271411419,-0.18688930571079254,0.03565465286374092,0.190484419465065,False,0.1138191819190979,-0.014585134573280811,-0.06842760741710663,0.13360340893268585,1.7009762525558472,4.286728382110596,2.9579880237579346,2.9579880237579346,2.9568753242492676,0.3099660575389862,0.3099660575389862,0.31022563576698303,3070,1.0,4.396911144256592
per_sequence,raw_fd,s5_freestyle1,s5_freestyle1,3,right_lower_leg,5,0.00449227262288332,-0.18366581201553345,0.04490695893764496,0.18912944197654724,0.00449227262288332,-0.18366581201553345,0.04490695893764496,0.18912944197654724,False,0.09108959138393402,-0.16403579711914062,-0.1410503387451172,0.2347344309091568,1.4953806400299072,4.420086860656738,2.9512226581573486,2.9512226581573486,2.951693296432495,0.33231568336486816,0.33231568336486816,0.33220919966697693,3070,1.0,4.610173225402832
per_sequence,raw_fd,s5_freestyle1,s5_freestyle1,4,head,15,-0.0031699729152023792,0.15640993416309357,0.012822146527469158,0.15696664154529572,-0.0031699729152023792,0.15640993416309357,0.012822146527469158,0.15696664154529572,False,0.16972006857395172,0.13413453102111816,-0.007225122302770615,0.21644671261310577,1.0743769407272339,2.4949066638946533,1.966420292854309,1.966420292854309,1.9539293050765991,0.2118261158466339,0.2118261158466339,0.21683269739151,3070,1.0,2.6240642070770264
per_sequence,raw_fd,s5_freestyle1,s5_freestyle1,5,pelvis,0,-0.004938202910125256,0.17108379304409027,-0.08715333789587021,0.19206705689430237,-0.004938202910125256,0.17108379304409027,-0.08715333789587021,0.19206705689430237,False,-0.2073463797569275,0.031457915902137756,0.11864519864320755,0.2409539520740509,1.344042420387268,2.3909895420074463,1.7463879585266113,1.7463879585266113,1.7158187627792358,0.2695961594581604,0.2695961594581604,0.2823813259601593,3070,1.0,3.3556172847747803
per_sequence,raw_fd,s5_freestyle3,s5_freestyle3,0,left_forearm,18,0.2250940352678299,0.05125537887215614,-0.007030251435935497,0.23096290230751038,0.2250940352678299,0.05125537887215614,-0.007030251435935497,0.23096290230751038,False,-0.1151396781206131,0.7242498993873596,-0.5491164922714233,0.9161462783813477,1.6169308423995972,8.82947826385498,4.050821304321289,4.050821304321289,4.002528190612793,0.541216254234314,0.541216254234314,0.5466857552528381,3559,1.0,11.89258098602295
per_sequence,raw_fd,s5_freestyle3,s5_freestyle3,1,right_forearm,19,-0.2103353589773178,0.03847820684313774,-0.0040479083545506,0.2138642519712448,-0.2103353589773178,0.03847820684313774,-0.0040479083545506,0.2138642519712448,False,-0.49227672815322876,-0.43006983399391174,-1.0599322319030762,1.2452921867370605,1.4927700757980347,9.310758590698242,4.26450252532959,4.26450252532959,4.175540447235107,0.5419812202453613,0.5419812202453613,0.551535964012146,3559,1.0,12.13373851776123
per_sequence,raw_fd,s5_freestyle3,s5_freestyle3,2,left_lower_leg,4,0.0034664960112422705,-0.17000295221805573,0.03625587373971939,0.1738606095314026,0.0034664960112422705,-0.17000295221805573,0.03625587373971939,0.1738606095314026,False,0.12976938486099243,-0.018905479460954666,-0.28239956498146057,0.311363160610199,1.5334341526031494,7.042263507843018,5.531764984130859,5.531764984130859,5.539821624755859,0.21449048817157745,0.21449048817157745,0.2133464515209198,3559,1.0,7.430036544799805
per_sequence,raw_fd,s5_freestyle3,s5_freestyle3,3,right_lower_leg,5,0.0020328667014837265,-0.1549970656633377,0.031383365392684937,0.1581554263830185,0.0020328667014837265,-0.1549970656633377,0.031383365392684937,0.1581554263830185,False,-0.07430169731378555,-0.15433438122272491,-0.44004395604133606,0.4722060263156891,1.4179497957229614,7.505311489105225,5.887852668762207,5.887852668762207,5.915613174438477,0.21550855040550232,0.21550855040550232,0.21180976927280426,3559,1.0,6.347230434417725
