source,solution_type,bias_mode,comparison_space,method,sequence_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,s5_freestyle1,15350,2.6393161124306284,2.137153609171215,0.885709597588797,0.8856386307065823,1.3631421526837335,2.6393161124306284,2.59543582202387,6.852834749245824,1.4536322964297104,2.245262740589433,-0.16484979191230736,0.8364382768021624,1.1136616628799065,1.9603834822254533,0.04305342263429872,0.9164731564125044,1.3748873786062779,2.1949871243173797,0.29790465920775255,0.8912774969988649
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,s5_freestyle3,17795,4.411640890476982,4.99427315350273,0.7787482679333797,0.7787493086646373,2.5379714959448383,4.411640890476982,7.440814313559086,12.700937887978386,2.2240810184609474,4.522987241904198,-0.050687828830836626,0.788660859073296,2.0253359530473833,4.666624748557745,0.03325240957030221,0.8149195283086722,2.3373557013028514,5.709071103175588,0.03709657478540608,0.7429077522938193
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,s5_rom3,28765,1.2046382899304626,1.7160367037581792,0.4880435905880932,0.48766838676012775,0.6481699719518439,1.2046382899304626,2.7172030649859646,2.6901362522915497,0.6034758261093142,0.9898746835003845,-0.0029755419636442776,0.5809026774483556,0.4612359080027854,2.0701510120949864,0.0044307366238870395,0.468674189953929,0.6894304368206569,1.889171459667657,0.1529998820346945,0.48640662302558046
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,s5_walking2,18670,3.4828979025316325,3.411440164882378,0.6778928945845344,0.6779001654043307,1.806356733770043,3.4828979025316325,4.773174435976426,10.14094866700433,1.903109176653369,3.8311586196193788,-0.04093819699710585,0.6722788355742177,1.460339729602029,2.8890590945347903,0.04128635575187736,0.6771144476877685,1.8529995181527434,3.4480912365133354,0.018919463878787804,0.6984503850928
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,s5_freestyle1,15350,2.5838770183491193,2.303437370673376,0.8657584589584738,0.8656868270701922,1.430389565892528,2.5838770183491193,3.039909655876519,7.790200858436623,1.408196563466,2.409802777339766,-0.16424691880625408,0.8065187459152048,1.062222764103731,1.9814279045865115,0.042891747345753524,0.9141671887555121,1.3904838123512286,2.486818287510266,0.299850311604016,0.8571868400163792
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,s5_freestyle3,17795,4.143610953325702,4.8184460503649635,0.782996745040151,0.7829959445517393,2.4730418203281186,4.143610953325702,7.244498277197146,13.35625093007212,2.035013724786281,4.333591470637284,-0.0484991898006035,0.7986604417462175,2.022957316105471,5.349411434783349,0.029020543036818607,0.7450152793167928,2.1215639950357428,4.717631745681522,0.06685756248408621,0.8071480438396021
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,s5_rom3,28765,0.7325193818738782,0.7469400256841364,0.8197047507739745,0.819037613615456,0.41588933874870404,0.7325193818738782,1.0663834024806305,2.082678266772604,0.3634781391453435,0.6878967445913984,-0.0026859203150358933,0.7435915640042037,0.2814936900271471,0.7493085475312578,0.000684660315700102,0.8465574899282031,0.4240497932643574,0.7994329085571898,0.15960214320313157,0.8344672579971218
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,s5_walking2,18670,2.6326229477755954,2.599515919960109,0.779661833842746,0.7796578665372271,1.4533222661281806,2.6326229477755954,3.652635414221283,8.96471604347752,1.3331029060458834,2.439032693074415,-0.02206316463745049,0.8289756582277873,1.2857965971929348,2.8949509361450168,0.04205233830465757,0.6550850312054189,1.3206359654368687,2.437791552574873,0.036312744555467104,0.8184951862460409
accfit_global,projected,no_bias,model_world_linear_acc,savgol9_p3_fd,s5_freestyle1,15350,2.3737714062196664,2.088228775264833,0.891175308574268,0.8910997501295151,1.2675339631366727,2.3737714062196664,2.7289755522074772,6.72225478636627,1.303699615684244,2.1539501602797806,-0.16290833899987928,0.8491569579172704,0.980077344237399,1.8584145233104254,0.043373744938194944,0.9249119435372537,1.2616154205959278,2.233582866184237,0.29958432800218415,0.8870256705022629
accfit_global,projected,no_bias,model_world_linear_acc,savgol9_p3_fd,s5_freestyle3,17795,3.7985013184260192,4.537080619896202,0.8107056712173804,0.810705768943204,2.1696660903888394,3.7985013184260192,6.879439612950239,12.222863895143107,1.864663302099338,4.025434372726423,-0.04919172619255147,0.8292925836723656,1.8540016537152773,5.077432322251407,0.02986263082113853,0.7742140442453593,1.9418330762340643,4.446443610138607,0.054759482669780916,0.8311520605223799
accfit_global,projected,no_bias,model_world_linear_acc,savgol9_p3_fd,s5_rom3,28765,0.7459282425004347,0.7587689021379004,0.817925855303532,0.8172728461837641,0.39602547027613594,0.7459282425004347,1.08202670835561,2.0516274632212395,0.3687235273292436,0.6782872418691354,-0.003365555256407649,0.7564278083687896,0.2853401716369226,0.7772781555866981,0.0007383716514623209,0.8384672602884314,0.433423805949368,0.8142209939076526,0.15902623269631203,0.8318891230679799
accfit_global,projected,no_bias,model_world_linear_acc,savgol9_p3_fd,s5_walking2,18670,2.5387812458501355,2.451086828517103,0.8073646137142606,0.8073648251416425,1.356766215652505,2.5387812458501355,3.402656272459757,8.106425089075124,1.3321884756153584,2.3746020615406933,-0.028575331394285777,0.8396343469729648,1.1688849783799324,2.612697981405828,0.04168327026464241,0.7318380412355608,1.3056809110978014,2.357658633066859,0.029678921519724295,0.8321199521052807
accfit_global,projected,no_bias,sensor_specific_force,raw_fd,s5_freestyle1,15350,2.639316047244319,2.1371535308923635,0.9560742506958182,0.9558444165437624,1.1244669824109517,2.639316047244319,2.595435694941355,6.85283504644285,1.123241346966107,1.8485305011259423,0.27921052624421905,0.9766607246624779,1.3818597440734945,2.193284399480421,-0.08141738706107683,0.9073775504963414,1.4294200054069481,2.3398107131176165,0.4015943944973379,0.9333901687425141
accfit_global,projected,no_bias,sensor_specific_force,raw_fd,s5_freestyle3,17795,4.411640656776829,4.994272967639304,0.8568495900574782,0.8587480080792591,2.339021645734837,4.411640656776829,7.440814077864855,12.700937160045244,2.0642060935395734,5.253927272022606,0.1796824580176163,0.8928790873687509,2.336253492342871,4.853629803913119,-0.18580867050848593,0.7616235284022727,2.1899502854796946,4.864854917954027,0.217316486049203,0.8217208434217852
accfit_global,projected,no_bias,sensor_specific_force,raw_fd,s5_rom3,28765,1.204638241107874,1.7160368268717408,0.9578304714608379,0.9579757973878776,0.469923915540924,1.204638241107874,2.7172033198862073,2.690136045174198,0.4821690371969972,1.9884400678783116,-0.010576074483641144,0.9651597101187553,0.6462447765708886,1.3043040751331942,-0.10363792460890264,0.9053686978128033,0.6506783083701193,1.7830435074857642,0.23968855234782765,0.9233584267396646
accfit_global,projected,no_bias,sensor_specific_force,raw_fd,s5_walking2,18670,3.4828978329902265,3.4114402026156467,0.8824788062317006,0.8834898656418589,1.541699693068842,3.4828978329902265,4.7731745676246575,10.140950792774824,1.4618708921074877,2.9432912334469985,0.04935370164680937,0.9409178746675095,1.9211360451441755,3.65177492944415,-0.07136463144103772,0.5539563576397083,1.7940660482848627,3.5937931698783214,0.1275421623185749,0.8313567633354372
accfit_global,projected,no_bias,sensor_specific_force,savgol15_p3_fd,s5_freestyle1,15350,2.5838768675606705,2.3034372304415567,0.9485336822601357,0.9484937249375593,1.1426973020008697,2.5838768675606705,3.0399094652699223,7.790201018550803,1.0858759742043733,1.9632870736457213,0.13654069048970355,0.9731310838146834,1.3945936177539893,2.5273415022640973,-0.02165137191790824,0.8743684345066037,1.3672920322807978,2.3823345737200476,0.35007581552109684,0.9298206975443964
