source,solution_type,bias_mode,comparison_space,method,sensor_id,sensor_name,mapped_joint_id,vertex_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,0,left_forearm,18,,16116,2.3314252918272445,2.7242546032084016,0.8526306880499656,0.8526120563797395,1.252291279377949,2.3314252918272445,4.102334157273728,6.360084113135466,1.2096396407970527,2.8315374257470145,0.02975678899352938,0.828698744658534,1.0456850342572725,2.2984792986928237,0.08729706031493852,0.8971561463796194,1.2245954375926265,2.9940070389665117,-0.016554475760100777,0.83378684443355
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,1,right_forearm,19,,16116,2.63879406732079,3.0085428383838853,0.8656170270521256,0.8655949404398682,1.3535140592453225,2.63879406732079,4.493412500699829,7.029151218960111,1.3775975591895815,2.843425428977044,-0.3441912651426774,0.8589432221865736,1.1280074028622338,2.86602528073054,0.051882077765748824,0.8836107697790011,1.4470388083938315,3.2946655294935523,0.4200668241952348,0.8576816029887778
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,2,left_lower_leg,4,,16116,3.3163675855481505,3.6326708252363553,0.6400223248330524,0.6399831775900495,1.798384061753727,3.3163675855481505,5.347017674470104,11.044214515301585,1.7767172473236954,3.573140214358299,0.12068735033921624,0.663920922358763,1.3753884948640285,3.4598278541555825,-0.06029506484460345,0.5962360511934939,1.765591936022645,3.8537192686695345,0.10901396521664167,0.6526985889808672
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,3,right_lower_leg,5,,16116,3.353456901251193,3.9424681025329127,0.6620633583820635,0.662041167501442,1.8558706875522737,3.353456901251193,5.948402393073215,11.148991610748048,1.750370329039677,3.5887163684579613,-0.011927480901101201,0.6851953038627153,1.4479109430156294,4.001036561275405,0.060146123437142957,0.6455886755714612,1.7897481978007566,4.212123630731628,0.13657995679670726,0.664398982188048
accfit_global,projected,no_bias,model_world_linear_acc,raw_fd,4,head,15,,16116,1.9300589228515412,2.327608264580653,0.6161828901848505,0.6161090343335924,1.090195824003912,1.9300589228515412,3.539513138039415,5.414596818821071,1.0078400250809585,2.096229950947117,-0.06004528795382492,0.5557815539600403,0.8150926034728361,1.8839729774040075,-0.00556884977488519,0.7931451627658959,1.0406313216885597,2.8826630939456317,-0.029396785185994805,0.44276392169128803
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,0,left_forearm,18,,16116,1.5559006379702665,1.709748274083066,0.9380889382660145,0.9380601459669304,0.7910633106258927,1.5559006379702665,2.519700515329905,4.510916204412924,0.7520684378728323,1.4998902384637192,0.03448507179556746,0.9469897172957856,0.7970967017692974,2.078422886913529,0.08571383957680594,0.9149552510976523,0.771138522757338,1.4833088208142464,-0.004171997487413717,0.9546795202061296
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,1,right_forearm,19,,16116,1.9744507393573352,2.2886641159523937,0.9192271380272589,0.919196428509633,0.9835845122796586,1.9744507393573352,3.437367391594289,5.566069799765165,0.9857251933459391,1.896671545523907,-0.34024603046143054,0.9349960324829589,0.9133298412043038,2.4846301164244733,0.05003771465109903,0.9108292482961181,1.0502693042436235,2.437868031682789,0.4331423975207137,0.9193999059008423
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,2,left_lower_leg,4,,16116,3.2665284637115466,3.618232266311948,0.6055827617211448,0.6055275062378829,2.0192090621234806,3.2665284637115466,5.348327401599959,11.601140501469787,1.747529073291904,3.659075110349011,0.12586071197313137,0.6172173214815266,1.381463409831193,3.6781088118274115,-0.06243435778491223,0.4855104562604273,1.7513361752074148,3.5153234707668948,0.12401856448800463,0.676514352390356
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,3,right_lower_leg,5,,16116,3.486403389122108,4.159300541921184,0.5864457133691424,0.5864302945812965,2.136548857296324,3.486403389122108,6.304310779331509,12.59071922870437,1.7663479989835935,3.745645617422635,-0.0039232322824487844,0.6267470267222445,1.5627186260054147,4.562139233864382,0.0575442145941245,0.4836684597009035,1.8488115465507045,4.1299355338304595,0.14902676066804885,0.63979638157483
accfit_global,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,4,head,15,,16116,1.1103665340893227,0.9805551914132199,0.8831571945623181,0.8830810270301981,0.5886338808385048,1.1103665340893227,1.2851270793959304,3.424703111534511,0.5297494013808502,0.8591893083279355,-0.05652233064389048,0.8701142938871057,0.5828345418346227,1.1014313680908225,-0.008025701479747295,0.9056784518147418,0.5322309732816227,0.965975219176347,-0.01565762158953898,0.8521387591518068
