version,seed_checkpoint_status,parent_checkpoint,pl_upstream,s4_json,s5_json,real_s4_json,real_s5_json,s4_score,s4_local_sip,s4_local_angle,s4_local_joint,s4_local_mesh,s4_global_sip,s4_global_angle,s4_global_joint,s4_global_mesh,s4_root_jitter,s4_joint_jitter,s5_score,s5_local_sip,s5_local_angle,s5_local_joint,s5_local_mesh,s5_global_sip,s5_global_angle,s5_global_joint,s5_global_mesh,s5_root_jitter,s5_joint_jitter,real_s4_pRJ_l1_cm,real_s4_pRJ_l2_cm,real_s4_gR2_angle_deg,real_s4_pRJ_dot_l2,real_s4_pRJ_ddot_l2,real_s4_gR2_dot_l2,real_s4_gR2_ddot_l2,real_s5_pRJ_l1_cm,real_s5_pRJ_l2_cm,real_s5_gR2_angle_deg,real_s5_pRJ_dot_l2,real_s5_pRJ_ddot_l2,real_s5_gR2_dot_l2,real_s5_gR2_ddot_l2,s4_score_delta_vs_pl_only,s5_score_delta_vs_official_ik1
v12_alpha035_ik2w25_from_v11,completed,Round3 downstream-aware from v11: alpha=0.35 ik2_input_distill=2.5,newpl_v4_init36,data/experiments/ik1_auto_search/round3_downstream_aware_from_v11/v12_alpha035_ik2w25_from_v11/s4/best_loss/result.json,data/experiments/ik1_auto_search/round3_downstream_aware_from_v11/v12_alpha035_ik2w25_from_v11/s5/best_loss/result.json,data/experiments/ik1_auto_search/round3_downstream_aware_from_v11/v12_alpha035_ik2w25_from_v11/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round3_downstream_aware_from_v11/v12_alpha035_ik2w25_from_v11/real_streaming/s5/best_loss/result.json,38.386719339862466,10.070025157928466,8.725553798675538,4.468177127838135,5.108660507202148,10.235164165496826,8.474906826019287,4.294702768325806,4.826364660263062,0.2869244858622551,0.4781402125954628,43.75161533830688,9.62232220172882,12.45108699798584,4.332240521907806,5.105639100074768,9.106214761734009,11.749263763427734,3.8145220279693604,4.411274552345276,0.3746604258194566,0.8051358442753553,2.4094533920288086,4.865252494812012,25.584686279296875,0.026289088651537895,0.022088775411248207,0.010931412689387798,0.006456701084971428,2.2223641872406006,4.557664394378662,15.153098106384277,0.025535685941576958,0.020094912499189377,0.011459792964160442,0.006751763168722391,-0.23893814294039828,-0.059661200363180455
v12_alpha035_s5stable_from_v11,completed,Round3 S5-stability from v11: alpha=0.35 ik2_input_distill=2.5 lr=1e-6 stronger pRJ distill/dynamics,newpl_v4_init36,data/experiments/ik1_auto_search/round3_downstream_aware_from_v11/v12_alpha035_s5stable_from_v11/s4/best_loss/result.json,data/experiments/ik1_auto_search/round3_downstream_aware_from_v11/v12_alpha035_s5stable_from_v11/s5/best_loss/result.json,data/experiments/ik1_auto_search/round3_downstream_aware_from_v11/v12_alpha035_s5stable_from_v11/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round3_downstream_aware_from_v11/v12_alpha035_s5stable_from_v11/real_streaming/s5/best_loss/result.json,38.38921534772218,10.07146110534668,8.72591257095337,4.4681251525878904,5.108399391174316,10.235895729064941,8.474865913391113,4.294867515563965,4.826852416992187,0.28685052022337915,0.47807621508836745,43.737316830046474,9.619295358657837,12.448022603988647,4.331571042537689,5.103365182876587,9.101602673530579,11.745819091796875,3.8136839866638184,4.410418272018433,0.37463897094130516,0.8051599152386189,2.4095542430877686,4.865253925323486,25.584686279296875,0.0262883473187685,0.022088591009378433,0.010931412689387798,0.006456701084971428,2.222119092941284,4.557403087615967,15.153098106384277,0.025536678731441498,0.020094089210033417,0.011459792964160442,0.006751763168722391,-0.23644213508068646,-0.07395970862358325
v13_alpha038_ik2w2_from_v12,completed,Round4 downstream-aware from v12: alpha=0.38 ik2_input_distill=2.0,newpl_v4_init36,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha038_ik2w2_from_v12/s4/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha038_ik2w2_from_v12/s5/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha038_ik2w2_from_v12/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha038_ik2w2_from_v12/real_streaming/s5/best_loss/result.json,38.376336369305854,10.067440795898438,8.724551963806153,4.4677411079406735,5.10846700668335,10.231966114044189,8.471617317199707,4.292027521133423,4.822668361663818,0.2870557144284248,0.47833154499530794,43.73781035907567,9.618024587631226,12.448243856430054,4.329896986484528,5.10431432723999,9.103167057037354,11.746022939682007,3.8130151629447937,4.409253895282745,0.37509846314787865,0.8060703352093697,2.4086296558380127,4.86371374130249,25.584686279296875,0.026277001947164536,0.022076625376939774,0.010931412689387798,0.006456701084971428,2.221217393875122,4.555866718292236,15.153098106384277,0.025496352463960648,0.020043721422553062,0.011459792964160442,0.006751763168722391,-0.24932111349701103,-0.07346617959439072
v13_alpha042_ik2w2_from_v12,completed,Round4 downstream-aware from v12: alpha=0.42 ik2_input_distill=2.0,newpl_v4_init36,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha042_ik2w2_from_v12/s4/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha042_ik2w2_from_v12/s5/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha042_ik2w2_from_v12/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha042_ik2w2_from_v12/real_streaming/s5/best_loss/result.json,38.370207245603204,10.065584087371827,8.723765754699707,4.467439889907837,5.108120441436768,10.230829811096191,8.469501781463624,4.2899498462677,4.81909556388855,0.2873816750943661,0.4786837354302406,43.71751535784453,9.612090110778809,12.444246053695679,4.325650990009308,5.1008830070495605,9.096914529800415,11.742501974105835,3.8112383484840393,4.406506538391113,0.37572029046714306,0.8073755614459515,2.40791654586792,4.862273693084717,25.584686279296875,0.026260988786816597,0.02205800823867321,0.010931412689387798,0.006456701084971428,2.2187769412994385,4.551540374755859,15.153098106384277,0.025435859337449074,0.019968245178461075,0.011459792964160442,0.006751763168722391,-0.25545023719966053,-0.09376118082552409
v13_alpha040_ik2w225_from_v12,completed,Round4 downstream-aware from v12: alpha=0.40 ik2_input_distill=2.25,newpl_v4_init36,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha040_ik2w225_from_v12/s4/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha040_ik2w225_from_v12/s5/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha040_ik2w225_from_v12/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha040_ik2w225_from_v12/real_streaming/s5/best_loss/result.json,38.3787378231883,10.068017387390137,8.725085735321045,4.467905569076538,5.108921670913697,10.233187484741212,8.471712875366212,4.291605520248413,4.8217607021331785,0.2870852373540401,0.47832314372062684,43.71488639246672,9.61136519908905,12.443263053894043,4.326895356178284,5.100820183753967,9.096797227859497,11.741515398025513,3.811891257762909,4.407286643981934,0.3753936253488064,0.8066852204501629,2.408431053161621,4.863152503967285,25.584686279296875,0.026266692206263542,0.0220661498606205,0.010931412689387798,0.006456701084971428,2.219773530960083,4.553428649902344,15.153098106384277,0.025462189689278603,0.020003341138362885,0.011459792964160442,0.006751763168722391,-0.2469196596145622,-0.09639014620334052
v13_alpha040_s5stable_from_v12,completed,Round4 S5-stability from v12: alpha=0.40 ik2_input_distill=2.25 lr=8e-7 stronger pRJ distill/dynamics,newpl_v4_init36,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha040_s5stable_from_v12/s4/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha040_s5stable_from_v12/s5/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha040_s5stable_from_v12/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round4_downstream_aware_from_v12/v13_alpha040_s5stable_from_v12/real_streaming/s5/best_loss/result.json,38.3813811891675,10.069668865203857,8.725146579742432,4.467659664154053,5.108443784713745,10.234616470336913,8.471254444122314,4.2914573669433596,4.821690893173217,0.2870588548481464,0.47831266522407534,43.707128487303855,9.60938012599945,12.441551685333252,4.326491951942444,5.099248051643372,9.094338417053223,11.740009546279907,3.811325490474701,4.406897842884064,0.37536901514977217,0.8066968396306038,2.4083058834075928,4.862794399261475,25.584686279296875,0.026265811175107956,0.022065307945013046,0.010931412689387798,0.006456701084971428,2.219399929046631,4.552684783935547,15.153098106384277,0.025460192933678627,0.02000134252011776,0.011459792964160442,0.006751763168722391,-0.24427629363536596,-0.10414805136620231
v14_alpha0405_ik2w2_from_v12,completed,Round5 confirmation from v12: alpha=0.405 ik2_input_distill=2.0,newpl_v4_init36,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0405_ik2w2_from_v12/s4/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0405_ik2w2_from_v12/s5/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0405_ik2w2_from_v12/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0405_ik2w2_from_v12/real_streaming/s5/best_loss/result.json,38.372773325160146,10.066407489776612,8.723906421661377,4.467434072494507,5.108246803283691,10.231533432006836,8.470336151123046,4.29062066078186,4.820356750488282,0.2872064270079136,0.47843572646379473,43.725488430112605,9.613972902297974,12.44599986076355,4.327340245246887,5.10241973400116,9.099478006362915,11.744041919708252,3.8119316697120667,4.407502233982086,0.37544210627675056,0.8068549484014511,2.4081618785858154,4.862767696380615,25.584686279296875,0.026267537847161293,0.022065144032239914,0.010931412689387798,0.006456701084971428,2.2199244499206543,4.553722381591797,15.153098106384277,0.025460511445999146,0.0199979767203331,0.011459792964160442,0.006751763168722391,-0.2528841576427183,-0.08578810855745189
v14_alpha0410_ik2w2_from_v12,completed,Round5 confirmation from v12: alpha=0.410 ik2_input_distill=2.0,newpl_v4_init36,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0410_ik2w2_from_v12/s4/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0410_ik2w2_from_v12/s5/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0410_ik2w2_from_v12/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0410_ik2w2_from_v12/real_streaming/s5/best_loss/result.json,38.37348917667567,10.066746234893799,8.724196338653565,4.467832136154175,5.108583879470825,10.231786918640136,8.470143032073974,4.290491676330566,4.82004132270813,0.2871894180774689,0.4784271165728569,43.72153897484764,9.613159656524658,12.445382833480835,4.327044785022736,5.102129817008972,9.097949385643005,11.743125438690186,3.811467170715332,4.407057285308838,0.37558136228471994,0.8070464935153723,2.4083924293518066,4.863192558288574,25.584686279296875,0.026264948770403862,0.022061819210648537,0.010931412689387798,0.006456701084971428,2.219696044921875,4.553475379943848,15.153098106384277,0.025449691340327263,0.01998515985906124,0.011459792964160442,0.006751763168722391,-0.25216830612719576,-0.0897375638224176
v14_alpha0415_ik2w2_from_v12,completed,Round5 confirmation from v12: alpha=0.415 ik2_input_distill=2.0,newpl_v4_init36,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0415_ik2w2_from_v12/s4/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0415_ik2w2_from_v12/s5/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0415_ik2w2_from_v12/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0415_ik2w2_from_v12/real_streaming/s5/best_loss/result.json,38.37063280807435,10.065557193756103,8.724200439453124,4.4676093578338625,5.108386039733887,10.230517864227295,8.469825649261475,4.289862251281738,4.819163751602173,0.2872119329869747,0.478450046479702,43.718751320485026,9.612117290496826,12.445310354232788,4.326860070228577,5.102001309394836,9.09680986404419,11.742653369903564,3.8110249638557434,4.4064154624938965,0.37565048690885305,0.8071938399225473,2.40818190574646,4.8627705574035645,25.584686279296875,0.026262899860739708,0.022060329094529152,0.010931412689387798,0.006456701084971428,2.219625473022461,4.553338527679443,15.153098106384277,0.02544444054365158,0.01997881568968296,0.011459792964160442,0.006751763168722391,-0.2550246747285172,-0.09252521818503112
v14_alpha0410_ik2w21_from_v12,completed,Round5 confirmation from v12: alpha=0.410 ik2_input_distill=2.1,newpl_v4_init36,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0410_ik2w21_from_v12/s4/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0410_ik2w21_from_v12/s5/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0410_ik2w21_from_v12/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round5_confirmation_from_v12/v14_alpha0410_ik2w21_from_v12/real_streaming/s5/best_loss/result.json,38.36968127383291,10.06557502746582,8.723701572418213,4.467196798324585,5.107817125320435,10.230309104919433,8.469593906402588,4.2899760723114015,4.819415521621704,0.2871938951313496,0.4784375563263893,43.719431065004315,9.612767815589905,12.445660591125488,4.326795279979706,5.101636171340942,9.096270203590393,11.742905139923096,3.810771942138672,4.406194746494293,0.3755748961120844,0.8070592563599348,2.4077656269073486,4.861997127532959,25.584686279296875,0.026264097541570663,0.022062087431550026,0.010931412689387798,0.006456701084971428,2.2190394401550293,4.552035808563232,15.153098106384277,0.025449231266975403,0.019985657185316086,0.011459792964160442,0.006751763168722391,-0.25597620896995466,-0.09184547366574236
