mode,sequence_id,signal_filter,sensor_group,original_acc_rmse,refined_acc_rmse,delta_acc_rmse
A,s5_freestyle1,raw,all,2.0328090579541143,2.036210940294271,0.0034018823401567033
A,s5_freestyle1,raw,fit,1.0909881424588026,1.1023649552967747,0.011376812837972095
A,s5_freestyle1,raw,heldout,3.1642182940472905,3.163109893226116,-0.0011084008211743601
A,s5_freestyle1,savgol9_p3,all,1.7398764202948904,1.740720304294774,0.0008438839998836656
A,s5_freestyle1,savgol9_p3,fit,0.9177816859030218,0.918795708587778,0.001014022684756255
A,s5_freestyle1,savgol9_p3,heldout,2.7204468126895214,2.721439675133965,0.0009928624444435208
A,s5_freestyle1,savgol15_p3,all,1.460274956056043,1.4613551319576734,0.0010801759016303425
A,s5_freestyle1,savgol15_p3,fit,0.8078287644235705,0.8091266557238344,0.0012978913002638093
A,s5_freestyle1,savgol15_p3,heldout,2.2919636547454134,2.293045642626786,0.0010819878813723705
