mode,sequence_id,sensor_name,original_acc_rmse,refined_acc_rmse,delta_acc_rmse
A,s5_freestyle1,left_lower_leg,1.2281576787881163,1.9814294493517226,0.7532717705636063
A,s5_freestyle1,right_lower_leg,4.303043520672418,4.467585027592579,0.16454150692016078
B,s5_freestyle1,left_lower_leg,1.2281576787881163,1.760130906647156,0.5319732278590397
B,s5_freestyle1,right_lower_leg,4.303043520672418,4.414272240384949,0.11122871971253101
C,s5_freestyle1,left_lower_leg,1.2281576787881163,1.760130906647156,0.5319732278590397
C,s5_freestyle1,right_lower_leg,4.303043520672418,4.414272240384949,0.11122871971253101
