mode,original_acc_rmse,refined_acc_rmse,delta_acc_rmse,fit_sensor_delta_acc_rmse,heldout_sensor_delta_acc_rmse,mean_pose_delta_deg,max_pose_delta_deg,lower_body_pose_delta_deg,mean_trans_delta,max_trans_delta,original_gyro_rmse,refined_gyro_rmse,delta_gyro_rmse,original_jerk,refined_jerk,delta_jerk,original_foot_sliding,refined_foot_sliding,delta_foot_sliding
A,2.0328090579541143,2.53859414931446,0.5057850913603459,0.8474267447616757,0.2916013367731356,0.0,0.0,0.0,0.0006280365050770342,0.0013063636142760515,0.7849603774538757,0.7849603774538757,0.0,912.4995727539062,912.5718994140625,0.07232666015625,0.019606582820415497,0.02385549619793892,0.004248913377523422
B,2.0328090579541143,2.7581813957548262,0.725372337800712,1.4031165958952598,0.19612843067976415,0.012317544780671597,0.10421708226203918,0.04263286292552948,0.0006643328233622015,0.0012020192807540298,0.7849603774538757,0.7846638383949348,-0.0002965390589408923,912.4995727539062,914.1290893554688,1.6295166015625,0.019606582820415497,0.026103705167770386,0.006497122347354889
C,2.0328090579541143,2.7581813957548262,0.725372337800712,1.4031165958952598,0.19612843067976415,0.012317544780671597,0.10421708226203918,0.04263286292552948,0.0006643328233622015,0.0012020192807540298,0.7849603774538757,0.7846638383949348,-0.0002965390589408923,912.4995727539062,914.1290893554688,1.6295166015625,0.019606582820415497,0.026103705167770386,0.006497122347354889
