mode,sequence_id,variant,qd_roughness,qdd_roughness,jerk,high_frequency_energy
A,s5_freestyle1,original,0.3096000850200653,21.492448806762695,912.4995727539062,1.0283608544037504
A,s5_freestyle1,refined,0.30960866808891296,21.494356155395508,912.5718994140625,1.0284239682884353
B,s5_freestyle1,original,0.3096000850200653,21.492448806762695,912.4995727539062,1.0283608544037504
B,s5_freestyle1,refined,0.30997925996780396,21.54108238220215,914.1290893554688,1.0295021582494828
C,s5_freestyle1,original,0.3096000850200653,21.492448806762695,912.4995727539062,1.0283608544037504
C,s5_freestyle1,refined,0.30997925996780396,21.54108238220215,914.1290893554688,1.0295021582494828
