mode,sequence_id,signal_filter,sensor_id,sensor_name,sensor_group,variant,acc_rmse,acc_mean_norm
B,s5_freestyle1,raw,0,left_forearm,fit,delta,1.4972907961615207,2.4723492103516254
B,s5_freestyle1,raw,1,right_forearm,fit,original,1.4505914541617404,2.3271041254522045
B,s5_freestyle1,raw,1,right_forearm,fit,refined,2.6714270881683784,4.323369527400652
B,s5_freestyle1,raw,1,right_forearm,fit,delta,1.220835634006638,1.9962654019484471
B,s5_freestyle1,raw,2,left_lower_leg,heldout,original,1.2281576787881163,1.4703286112828067
B,s5_freestyle1,raw,2,left_lower_leg,heldout,refined,1.760130906647156,2.6716991298273625
B,s5_freestyle1,raw,2,left_lower_leg,heldout,delta,0.5319732278590397,1.2013705185445558
B,s5_freestyle1,raw,3,right_lower_leg,heldout,original,4.303043520672418,2.843391112197369
B,s5_freestyle1,raw,3,right_lower_leg,heldout,refined,4.414272240384949,4.0465102466686265
B,s5_freestyle1,raw,3,right_lower_leg,heldout,delta,0.11122871971253101,1.2031191344712573
B,s5_freestyle1,raw,4,head,fit,original,0.920007679540257,1.1133066474616264
B,s5_freestyle1,raw,4,head,fit,refined,2.5109646229918683,4.0568344730732475
B,s5_freestyle1,raw,4,head,fit,delta,1.5909569434516113,2.9435278256116213
B,s5_freestyle1,raw,5,pelvis,other,original,1.0947857282945996,1.2288844176942948
B,s5_freestyle1,raw,5,pelvis,other,refined,2.0975824448445417,3.374302836247287
B,s5_freestyle1,raw,5,pelvis,other,delta,1.002796716549942,2.1454184185529925
B,s5_freestyle1,savgol9_p3,0,left_forearm,fit,original,0.5605132233318629,0.7838144846177794
B,s5_freestyle1,savgol9_p3,0,left_forearm,fit,refined,0.7159980537323396,1.006774484504648
B,s5_freestyle1,savgol9_p3,0,left_forearm,fit,delta,0.15548483040047667,0.22295999988686865
B,s5_freestyle1,savgol9_p3,1,right_forearm,fit,original,1.2735571726483184,2.0913177763560946
B,s5_freestyle1,savgol9_p3,1,right_forearm,fit,refined,1.3029530025534688,2.1574608643311413
