mode,sequence_id,variant,foot_sliding,stance_foot_velocity,stance_foot_acceleration
A,s5_freestyle1,original,0.019606582820415497,0.019606582820415497,1.2101600170135498
A,s5_freestyle1,refined,0.02385549619793892,0.02385549619793892,2.494971990585327
B,s5_freestyle1,original,0.019606582820415497,0.019606582820415497,1.2101600170135498
B,s5_freestyle1,refined,0.026103705167770386,0.026103705167770386,2.2824807167053223
C,s5_freestyle1,original,0.019606582820415497,0.019606582820415497,1.2101600170135498
C,s5_freestyle1,refined,0.026103705167770386,0.026103705167770386,2.2824807167053223
