mode,sequence_id,signal_filter,sensor_group,original_acc_rmse,refined_acc_rmse,delta_acc_rmse
A,s5_freestyle1,raw,all,2.0328090579541143,2.53859414931446,0.5057850913603459
A,s5_freestyle1,raw,fit,1.0909881424588026,1.9384148872204783,0.8474267447616757
A,s5_freestyle1,raw,heldout,3.1642182940472905,3.455819630820426,0.2916013367731356
A,s5_freestyle1,savgol9_p3,all,1.7398764202948904,1.7813384542519501,0.04146203395705972
A,s5_freestyle1,savgol9_p3,fit,0.9177816859030218,0.9726995651823941,0.054917879279372306
A,s5_freestyle1,savgol9_p3,heldout,2.7204468126895214,2.761300914073408,0.040854101383886565
A,s5_freestyle1,savgol15_p3,all,1.460274956056043,1.4979032842179651,0.037628328161922076
A,s5_freestyle1,savgol15_p3,fit,0.8078287644235705,0.823534516069675,0.015705751646104438
A,s5_freestyle1,savgol15_p3,heldout,2.2919636547454134,2.353418136581955,0.061454481836541675
B,s5_freestyle1,raw,all,2.0328090579541143,2.7581813957548262,0.725372337800712
B,s5_freestyle1,raw,fit,1.0909881424588026,2.4941047383540624,1.4031165958952598
B,s5_freestyle1,raw,heldout,3.1642182940472905,3.3603467247270546,0.19612843067976415
B,s5_freestyle1,savgol9_p3,all,1.7398764202948904,1.7871606591728364,0.04728423887794597
B,s5_freestyle1,savgol9_p3,fit,0.9177816859030218,0.9968859267184922,0.0791042408154704
B,s5_freestyle1,savgol9_p3,heldout,2.7204468126895214,2.762907706870132,0.04246089418061061
B,s5_freestyle1,savgol15_p3,all,1.460274956056043,1.5005065512545435,0.04023159519850039
B,s5_freestyle1,savgol15_p3,fit,0.8078287644235705,0.8379102237061595,0.030081459282588985
B,s5_freestyle1,savgol15_p3,heldout,2.2919636547454134,2.3517122583309176,0.059748603585504156
C,s5_freestyle1,raw,all,2.0328090579541143,2.7581813957548262,0.725372337800712
C,s5_freestyle1,raw,fit,1.0909881424588026,2.4941047383540624,1.4031165958952598
C,s5_freestyle1,raw,heldout,3.1642182940472905,3.3603467247270546,0.19612843067976415
C,s5_freestyle1,savgol9_p3,all,1.7398764202948904,1.7871606591728364,0.04728423887794597
C,s5_freestyle1,savgol9_p3,fit,0.9177816859030218,0.9968859267184922,0.0791042408154704
C,s5_freestyle1,savgol9_p3,heldout,2.7204468126895214,2.762907706870132,0.04246089418061061
C,s5_freestyle1,savgol15_p3,all,1.460274956056043,1.5005065512545435,0.04023159519850039
C,s5_freestyle1,savgol15_p3,fit,0.8078287644235705,0.8379102237061595,0.030081459282588985
C,s5_freestyle1,savgol15_p3,heldout,2.2919636547454134,2.3517122583309176,0.059748603585504156
