source,protocol,comparison_space,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
accfit_global_rjs,centered_ma15,model_world_linear_acc,80140,0.7029836192429016,0.5453118946747558,0.9798827417158391,0.9797850238985187,0.3617959471571698,0.7029836192429016,0.6308004585425308,1.907711955608037,0.37129432717505256,0.5579448019140449,-0.04778794925247095,0.9776935707374179,0.255940865621705,0.4392079338948645,0.023682282744784136,0.9847201170473825,0.4088081676727933,0.6228074953324,0.13977698905692168,0.9791600669257594
accfit_global_rjs,centered_ma15,sensor_specific_force,80140,0.7268091650063855,0.5811798554942513,0.9959371428934417,0.9959610588175483,0.23318833450568605,0.7268091650063855,0.6964614210131651,1.981119957734996,0.298030846936342,0.5002633999146564,0.012734630140786577,0.9980899019889854,0.3828063306676706,0.6014926701141994,-0.06217096756252448,0.9853387812791294,0.4013919691418575,0.6334454765815888,0.1605008291122679,0.9932401542754761
accfit_global_rjs,centered_ma21,model_world_linear_acc,80140,0.5804420341487787,0.44895603618907065,0.9791216747192983,0.9789716811072959,0.3106396005143676,0.5804420341487787,0.5174665325265339,1.6151845265766482,0.3110312450808001,0.46417826230458575,-0.04784253101127465,0.9774024075051513,0.1882284985277666,0.31650630410447317,0.023610764542539922,0.9862991442636091,0.35176173879239725,0.5376307911176853,0.13992861465448386,0.9776086956688252
accfit_global_rjs,centered_ma21,sensor_specific_force,80140,0.6122667870625121,0.4929879509357462,0.9969504776687609,0.9969654038007478,0.17935491564731204,0.6122667870625121,0.5951812671477703,1.7595928981429678,0.24665634292760658,0.4147979324086149,0.012866233002341722,0.9986391821047585,0.3198599723668612,0.5069953780605146,-0.06220392091711253,0.9881763799336183,0.3455635503315304,0.5477314316325941,0.1605593610357308,0.9947964063097128
accfit_global_rjs,centered_ma9,model_world_linear_acc,80140,0.9304575747257491,0.7401921558839885,0.975166225863167,0.9751010866373117,0.4684253589227795,0.9304575747257491,0.8819875194876838,2.497418047994102,0.48513468711334395,0.7430865052190013,-0.04771035076085271,0.9726678282992597,0.3728521281997569,0.664564239701751,0.023632592935360186,0.9785965961610379,0.5191568898941892,0.806120400416467,0.13989396086436534,0.9750628624186051
accfit_global_rjs,centered_ma9,sensor_specific_force,80140,0.9433837297403719,0.7614910565110269,0.9934053094530301,0.9934503949619352,0.3405111840148462,0.9433837297403719,0.9217554045949419,2.5438295088414766,0.3951533218976115,0.6744150060630504,0.012745008730183553,0.9966869701866108,0.5033927471859605,0.7938485525845863,-0.06219731489803075,0.9780021426410394,0.5061733800636755,0.8090579476126375,0.1605067729938458,0.9894792701197773
accfit_global_rjs,legacy_both_lowpass_5hz,model_world_linear_acc,80140,1.005887480828257,0.7934482886777194,0.9767293158522494,0.9766761525770082,0.5076921989256747,1.005887480828257,0.9364138702143343,2.7107146869997254,0.5223825666071693,0.7933825107802485,-0.04773486521562036,0.9743305931816407,0.4125819673401214,0.7247850026224784,0.023668447482897703,0.9798591782882609,0.5549939962920591,0.8566863206438912,0.1397423624721826,0.9765658633456007
accfit_global_rjs,legacy_both_lowpass_5hz,sensor_specific_force,80140,1.0153085708097924,0.8095307050757256,0.9928195040926149,0.9928678526657114,0.3773171582943542,1.0153085708097924,0.9670410505357985,2.734009664676605,0.4278058516668178,0.7153239878851197,0.012714056081941082,0.9963863866773902,0.545430974112797,0.8478565870133371,-0.062236718828577064,0.9770862464954737,0.5378133195231739,0.8575958766198845,0.16044372475862334,0.98870158635825
accfit_global_rjs,legacy_both_smooth_ma9,model_world_linear_acc,80140,0.9304575747257491,0.7401921558839885,0.975166225863167,0.9751010866373117,0.4684253589227795,0.9304575747257491,0.8819875194876838,2.497418047994102,0.48513468711334395,0.7430865052190013,-0.04771035076085271,0.9726678282992597,0.3728521281997569,0.664564239701751,0.023632592935360186,0.9785965961610379,0.5191568898941892,0.806120400416467,0.13989396086436534,0.9750628624186051
accfit_global_rjs,legacy_both_smooth_ma9,sensor_specific_force,80140,0.9433837297403719,0.7614910565110269,0.9934053094530301,0.9934503949619352,0.3405111840148462,0.9433837297403719,0.9217554045949419,2.5438295088414766,0.3951533218976115,0.6744150060630504,0.012745008730183553,0.9966869701866108,0.5033927471859605,0.7938485525845863,-0.06219731489803075,0.9780021426410394,0.5061733800636755,0.8090579476126375,0.1605067729938458,0.9894792701197773
accfit_global_rjs,lowpass_12hz,model_world_linear_acc,80140,1.5668514752609275,1.3351959920773162,0.9467888272560042,0.9467474291597923,0.7824664765361478,1.5668514752609275,1.7009472261803544,4.676485688414768,0.8198655643120712,1.3557504753299288,-0.047715723825560205,0.9398064788744356,0.6738399448837673,1.2392594091201365,0.023708830423521284,0.9531399028927919,0.8397205700859419,1.4051411948013868,0.1400325825241878,0.9473724951813017
accfit_global_rjs,lowpass_12hz,sensor_specific_force,80140,1.5708049997449984,1.3430517707016927,0.9813622052243358,0.9815022339938092,0.6601218059664855,1.5708049997449984,1.7157901471715509,4.685491226143459,0.6676499589038819,1.1855184233768183,0.012734229385311342,0.9904835120024109,0.8590729223323186,1.4390041005030783,-0.06233181579763681,0.9437952385771256,0.814238800412579,1.3911065534042772,0.16053153640124787,0.9718359963022536
accfit_global_rjs,lowpass_3hz,model_world_linear_acc,80140,0.7812687596502012,0.612273297386223,0.981832893175578,0.9817539900630746,0.3984222255465923,0.7812687596502012,0.7171156791419577,2.0495885313183173,0.4078914126144554,0.6167062881978379,-0.046036128462963365,0.9799802516808435,0.29751053742281997,0.5119795640057653,0.023129859643026225,0.9859930737516591,0.44622699312303166,0.6943961781391851,0.1453392380789965,0.9808345002814393
accfit_global_rjs,lowpass_3hz,sensor_specific_force,80140,0.80080465406403,0.6425806582796039,0.9952585361335221,0.9952866788093665,0.2652081831270661,0.80080465406403,0.7729434734924259,2.113997018409525,0.33088358566128656,0.5562572277579829,0.013421979606497776,0.9977296880977665,0.4242008784673939,0.6697078906557151,-0.06213294353299565,0.9839695375708373,0.4349089660854586,0.6933966721477853,0.16212367936513558,0.9922811460554128
accfit_global_rjs,lowpass_5hz,model_world_linear_acc,80140,1.005887480828257,0.7934482886777194,0.9767293158522494,0.9766761525770082,0.5076921989256747,1.005887480828257,0.9364138702143343,2.7107146869997254,0.5223825666071693,0.7933825107802485,-0.04773486521562036,0.9743305931816407,0.4125819673401214,0.7247850026224784,0.023668447482897703,0.9798591782882609,0.5549939962920591,0.8566863206438912,0.1397423624721826,0.9765658633456007
accfit_global_rjs,lowpass_5hz,sensor_specific_force,80140,1.0153085708097924,0.8095307050757256,0.9928195040926149,0.9928678526657114,0.3773171582943542,1.0153085708097924,0.9670410505357985,2.734009664676605,0.4278058516668178,0.7153239878851197,0.012714056081941082,0.9963863866773902,0.545430974112797,0.8478565870133371,-0.062236718828577064,0.9770862464954737,0.5378133195231739,0.8575958766198845,0.16044372475862334,0.98870158635825
accfit_global_rjs,lowpass_8hz,model_world_linear_acc,80140,1.2467238147590467,1.009154045243389,0.966756675024253,0.9667100156312622,0.6253525451688458,1.2467238147590467,1.22509403345455,3.543496745851293,0.6496881751308409,1.0174892413825174,-0.04768652770421971,0.9627876733228132,0.5279343684231399,0.9318496272672293,0.02368061726973745,0.970857961630067,0.6754425462922037,1.0731018483471375,0.14002395928573289,0.9669205491951364
accfit_global_rjs,lowpass_8hz,sensor_specific_force,80140,1.25264158967663,1.01963190015981,0.9889557322568753,0.9890350450006776,0.5030533085335134,1.25264158967663,1.2449243684991147,3.556867137959925,0.5356935142957743,0.9097030211088969,0.012737317294913446,0.9942875376851084,0.6752487709224941,1.0721806223878336,-0.0622989239693627,0.9661965240401201,0.6565135595548978,1.0685582631901256,0.16053781650049,0.9829756396009601
accfit_global_rjs,raw,model_world_linear_acc,80140,2.6595511657068123,3.0531029115827844,0.7859484022065968,0.7859220220218079,1.4222566588284542,2.6595511657068123,4.570678260732576,8.075048150491615,1.4119665137795028,3.027628064237126,-0.04774605525819185,0.7699667648636915,1.130866487360682,2.9612810819339472,0.02369773283299586,0.7981805095433453,1.4173978943685464,3.1667956714271432,0.14008356177938128,0.7894347917625137
accfit_global_rjs,raw,sensor_specific_force,80140,2.659551159829461,3.0531029079638907,0.9125370418931371,0.9131686936171058,1.2069143273375098,2.659551159829461,4.570678256900442,8.075048008680554,1.1356097134398973,3.0079214818363376,0.012746091041359644,0.942981196514057,1.448090446847645,3.0044589913755573,-0.06232545943718157,0.8027476466053558,1.376872985940222,3.144828553053848,0.16051331139935615,0.8722873628521743
accfit_global_rjs,savgol15_p3,model_world_linear_acc,80140,1.0752607339020415,0.8541932170103256,0.9735698567750951,0.9735178058607723,0.5399899941913102,1.0752607339020415,1.0162443161404597,2.92783485642244,0.5566135063478469,0.8522492726855392,-0.04768206089328199,0.970958974472646,0.44709562175710005,0.7884824482579449,0.023612778314741335,0.9767149053721065,0.5905129208216744,0.9170085942647834,0.1399233354731021,0.9735384147232342
accfit_global_rjs,savgol15_p3,sensor_specific_force,80140,1.0831927587177834,0.8685638636750389,0.9917699865277252,0.9918271112538612,0.4115451632012501,1.0831927587177834,1.0439841968668357,2.962462131854575,0.4604065735944424,0.7750184174088642,0.012734553708575047,0.9957722130750722,0.5798274869474179,0.9067949287472926,-0.06221764581597697,0.9740804650977197,0.5731655492643228,0.9166673146357877,0.16049175543811242,0.9871085899209558
accfit_global_rjs,savgol9_p3,model_world_linear_acc,80140,1.359564676201171,1.127821515381682,0.9594280799821475,0.9593828458655339,0.6802796820186054,1.359564676201171,1.4026859958306794,3.89930634703201,0.7088788094056517,1.1367260188423745,-0.04766899965145114,0.954638718972644,0.5807490947019284,1.051422233254897,0.023703607360534656,0.9638197636505492,0.7324477970995061,1.1909279395402355,0.14003777918305668,0.9599812400262783
accfit_global_rjs,savgol9_p3,sensor_specific_force,80140,1.3644953324661528,1.1366930920850844,0.9863695705430078,0.9864697888323787,0.5576823326024887,1.3644953324661528,1.4192836377764433,3.9181482772166443,0.587457527240833,1.0322690822109142,0.012732325609381175,0.9926825185095506,0.7326603408089676,1.1826447337756705,-0.0623158947990697,0.9596284801632367,0.7143486012635156,1.1882699745285,0.16055195119889903,0.9790348691288268
old_rjs,centered_ma15,model_world_linear_acc,80140,1.4765330842612359,1.4748310273333929,0.8411781724204289,0.8410977778577965,0.8281581293467548,1.4765330842612359,2.0845214627433837,5.282663595263066,0.7373820597116068,1.514289596980099,-0.04789216836380485,0.8204294247229805,0.6139607646933056,1.2774824103674751,0.023679403072230917,0.8642314748969457,0.8403588824462862,1.612558645518162,0.1394249249165744,0.8431182403967712
