sensor_group,measurement,num_sequences,after_acc_l2,after_acc_rmse,before_acc_l2,before_acc_rmse,delta_acc_rmse,round,after_foot_sliding,after_gyro_rmse,after_jerk,before_foot_sliding,before_gyro_rmse,before_jerk,delta_foot_sliding,delta_gyro_rmse,delta_jerk,max_pose_delta_deg,max_tran_delta,mean_pose_delta_deg,mean_tran_delta
all,centered_ma21,4,0.37044168352050044,0.29033782585760315,0.3700556478284007,0.2901516624233654,0.00018616343423775994,1,,,,,,,,,,,,,
diagnostics,centered_ma21,4,,,,,,1,0.061480778036639094,0.1865272375645761,561.488639831543,0.06125050806440413,0.18649768008702106,561.4699630737305,0.00023026997223496437,2.955747755504015e-05,0.0186767578125,0.03243950288742781,0.0002723387733567506,0.003326159610878676,0.00015589013491990045
heldout_lower_leg,centered_ma21,4,0.30005945442733845,0.22386642535739049,0.29978123369255844,0.2236591247323402,0.00020730062505028984,1,,,,,,,,,,,,,
all,centered_ma21,4,0.3687756066184334,0.290944878674579,0.36836028791887343,0.29079487559542494,0.00015000307915405409,2,,,,,,,,,,,,,
diagnostics,centered_ma21,4,,,,,,2,0.06140923826023936,0.18199206571087118,561.4888763427734,0.06125050806440413,0.18197820570366713,561.4699630737305,0.00015873019583523273,1.386000720406469e-05,0.01891326904296875,0.036079584620893,0.00027939349092775956,0.0034140647621825337,0.00016022813360905275
heldout_lower_leg,centered_ma21,4,0.314158565183118,0.23112067718831458,0.3139415334236572,0.23100284660805886,0.0001178305802557178,2,,,,,,,,,,,,,
all,centered_ma21,4,0.36880876552869335,0.2909672582174815,0.36839284667449984,0.29081701364212914,0.00015024457535230823,3,,,,,,,,,,,,,
diagnostics,centered_ma21,4,,,,,,3,0.06140878121368587,0.18199246924730267,561.488883972168,0.06125050806440413,0.18197855490363538,561.4699630737305,0.0001582731492817402,1.3914343667327522e-05,0.0189208984375,0.03609603736549616,0.00027940599829889834,0.0034149354323744774,0.0001601861949893646
heldout_lower_leg,centered_ma21,4,0.3142547013706294,0.23116497230014144,0.31403697118286644,0.2310464708005264,0.00011850149961501605,3,,,,,,,,,,,,,
