sensor_group,measurement,num_sequences,after_acc_l2,after_acc_rmse,before_acc_l2,before_acc_rmse,delta_acc_rmse,after_foot_sliding,after_gyro_rmse,after_jerk,before_foot_sliding,before_gyro_rmse,before_jerk,delta_foot_sliding,delta_gyro_rmse,delta_jerk,max_pose_delta_deg,max_tran_delta,mean_pose_delta_deg,mean_tran_delta
all,centered_ma21,4,0.4443928915765029,0.33941675807676586,0.44379114063676006,0.33906679247718624,0.0003499655995795742,,,,,,,,,,,,,
diagnostics,centered_ma21,4,,,,,,0.2005453403107822,0.5022760568680403,630.5945816040039,0.2002905895933509,0.5022733460882114,630.5725936889648,0.00025475071743130684,2.7107798289162377e-06,0.0219879150390625,0.08147338218986988,0.0008067126909736544,0.009889308363199234,0.0004551456877379678
heldout_lower_leg,centered_ma21,4,0.38975338911011714,0.28201710439782124,0.38929329430302956,0.28164740345179456,0.0003697009460266812,,,,,,,,,,,,,
