method,mean_tran_delta_m,max_tran_delta_m,mean_pose_delta_deg,max_pose_delta_deg,q_deviation_acceptable
raw_q,0.0,0.0,0.0,0.0,True
savgol_q_w9_p3,0.00010945692338282242,0.0013538844650611281,0.07249758392572403,2.534264087677002,True
savgol_q_w15_p3,0.0002793211315292865,0.0023528977762907743,0.166636660695076,5.039761066436768,True
bspline_q_knot10,0.00965513288974762,0.031127000227570534,2.5509865283966064,38.574058532714844,False
bspline_q_knot15,0.00413158955052495,0.014939132146537304,1.5150337219238281,15.50772762298584,True
bspline_q_knot21,0.0018585151992738247,0.008544894866645336,0.7834028005599976,10.72150707244873,True
bspline_q_knot30,0.0009528590016998351,0.0055856602266430855,0.4691244959831238,8.440242767333984,True
