method,target_filter,overall_rmse,best_overall_rmse,delta_rmse_vs_raw,rmse_ratio_vs_best,lower_leg_rmse,lower_leg_delta_vs_raw,mean_tran_delta_m,max_tran_delta_m,mean_pose_delta_deg,max_pose_delta_deg,q_deviation_acceptable,bspline_refinement_supported
raw_q,centered_ma21,1.1123699821400763,0.70463638142472,0.0,1.5786439807308144,1.0799296219876098,0.0,0.0,0.0,0.0,0.0,True,False
savgol_q_w9_p3,centered_ma21,0.9492437926326558,0.70463638142472,-0.16312618950742053,1.3471399116709795,0.8198416530224029,-0.2600879689652069,0.00010945692338282242,0.0013538844650611281,0.07249758392572403,2.534264087677002,True,False
savgol_q_w15_p3,centered_ma21,0.8614329961625642,0.70463638142472,-0.25093698597751213,1.2225213157753985,0.682318426313271,-0.3976111956743388,0.0002793211315292865,0.0023528977762907743,0.166636660695076,5.039761066436768,True,False
bspline_q_knot10,centered_ma21,0.8753385697873318,0.70463638142472,-0.2370314123527445,1.2422557121127713,0.4879207754665284,-0.5920088465210813,0.00965513288974762,0.031127000227570534,2.5509865283966064,38.574058532714844,False,False
bspline_q_knot15,centered_ma21,0.8037747349469134,0.70463638142472,-0.3085952471931629,1.1406943441122688,0.48008902638298956,-0.5998405956046202,0.00413158955052495,0.014939132146537304,1.5150337219238281,15.50772762298584,True,False
bspline_q_knot21,centered_ma21,0.70463638142472,0.70463638142472,-0.40773360071535636,1.0,0.39299735681228004,-0.6869322651753298,0.0018585151992738247,0.008544894866645336,0.7834028005599976,10.72150707244873,True,True
bspline_q_knot30,centered_ma21,0.7648157624387264,0.70463638142472,-0.3475542197013499,1.0854048734928055,0.5398144174704975,-0.5401152045171123,0.0009528590016998351,0.0055856602266430855,0.4691244959831238,8.440242767333984,True,False
