method,target_filter,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot10,centered_ma21,552,0.6975121280026224,0.4879207754665284,0.9962990106244756,0.9963356600668184,0.28532008348253507,0.6975121280026224,0.4771549860211341,1.6127873479902277,0.31464764605397766,0.4560489251706826,-0.06791072565576305,0.998884429011962,0.2987667622037934,0.4060133724410763,0.003934571756542647,0.8256717800180254,0.43303849525851756,0.5842709719344821,-0.05979045103215511,0.9344379668744215
bspline_q_knot10,lowpass_5hz,552,1.0731197299096404,0.8283314331635445,0.9894570595240434,0.98961805727951,0.4740523639912201,1.0731197299096404,0.9522672601633299,3.102926282550901,0.5361318000848743,0.8662197721106639,-0.06249256064926369,0.995843992083306,0.4855340970403842,0.7279575751361467,0.015673931696295294,0.6149387800073443,0.6088676370068308,0.882122420476186,-0.053699973987312515,0.8558880717147904
bspline_q_knot15,centered_ma21,552,0.6553358331754631,0.48008902638298956,0.9964204680484217,0.9964562523889542,0.27414764991854884,0.6553358331754631,0.5118509211834265,1.6623509033682948,0.31083736903425574,0.48834007377671496,-0.08085040078646895,0.9986961275070317,0.330974974456088,0.47493571833478737,0.013988810367848508,0.8163200580974201,0.34402318833314854,0.47688201429040367,-0.060258909142103745,0.9488342490339297
bspline_q_knot15,lowpass_5hz,552,0.9849409200004929,0.7858522571377946,0.9905141135338938,0.9906571338276998,0.40055735782130863,0.9849409200004929,0.9394587240822674,2.902582242859711,0.44807959725891333,0.7718999487869379,-0.07543223577996959,0.9967014119204213,0.49774799774425355,0.73670532697112,0.025728170307601154,0.6402114614766828,0.5349953001925208,0.8450603767902012,-0.05416843209726115,0.8635689260324875
bspline_q_knot21,centered_ma21,552,0.5360318610870126,0.39299735681228004,0.99761427404498,0.9976258609633943,0.24714573487242142,0.5360318610870126,0.4195361859052318,1.3980959202950776,0.26167852895847266,0.4219441572452988,-0.07760212818781535,0.9990346831110336,0.24151164883886045,0.34123786942048334,-0.0030517529525821083,0.9146153140771354,0.29674694492765097,0.41092652874235236,-0.052932999704195106,0.9625982837447359
bspline_q_knot21,lowpass_5hz,552,0.8119583407429029,0.6609815770583702,0.9933166521198399,0.9934065791507917,0.31047831732576747,0.8119583407429029,0.8071019691028778,2.546771827221301,0.3976086516311203,0.6485680777596283,-0.072183963181316,0.997688182498021,0.3738594745900364,0.5576681580722357,0.008687606987170537,0.7955441796744931,0.48920204064916767,0.7609570353280213,-0.04684252265935251,0.890484264552981
bspline_q_knot30,centered_ma21,552,0.6766252472558733,0.5398144174704975,0.9954948671556123,0.9955403915462462,0.30000381338286747,0.6766252472558733,0.6452728808054513,2.0338952332035465,0.3310027744459069,0.5608619983179058,-0.08126594536546347,0.9982557901583733,0.31464242991131725,0.46140915205717964,-0.01006212980111899,0.8589191061050856,0.3824047123797346,0.5888414295612678,-0.06065976334924715,0.9278863216661306
bspline_q_knot30,lowpass_5hz,552,0.6052769975813203,0.46416800271244396,0.9967340043478562,0.9967573533873436,0.2358663860862524,0.6052769975813203,0.5291460671923401,1.6863741031775141,0.2551460292028344,0.4285193352534931,-0.07584778035896411,0.999021008093957,0.34369051520332217,0.5056025898885701,0.0016772301386336567,0.8405938865812149,0.31442900997775514,0.45507472423554,-0.05456928630440455,0.9630616254311779
raw_q,centered_ma21,552,1.4453680228547854,1.0799296219876098,0.9821842200637096,0.9824731381961915,0.5007594522720695,1.4453680228547854,1.1872890313010362,3.937051966363741,0.5557116278703662,0.8726549546614099,-0.08034818500712299,0.9957193225770284,0.8655317015962783,1.2605442867086833,-0.024219165484427704,0.48151645372895374,0.7441039269763059,1.0715621291786555,-0.07473471504298673,0.8017827990941351
raw_q,lowpass_5hz,552,1.1041639879561234,0.7896015188032991,0.9905380570952456,0.9906753817804397,0.331463062074463,1.1041639879561234,0.8069904356250202,2.618373488213244,0.36661633892335754,0.5373902623680281,-0.07493002000062363,0.9984150709276383,0.7311951514724491,1.0461559524539903,-0.012479805544675059,0.6886140312350546,0.5134257087720208,0.697983599052683,-0.06864423799814413,0.9214527129832626
