method,target_filter,sensor_id,sensor_name,sensor_group,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot10,centered_ma21,0,left_forearm,other,276,1.6134968994537344,1.0946668468904435,0.9817668039370608,0.9821423818989765,0.7298708893407848,1.6134968994537344,0.9957480969082402,3.9382442495563197,0.4390038452718569,0.5902367037244486,0.3369413866944935,0.9906229459523856,0.7629557389064111,1.0197604595817409,-0.2730312429476475,0.7057695871302893,1.1920517220877218,1.4854614622040287,0.4421208781608637,0.8557337582816286
bspline_q_knot10,centered_ma21,1,right_forearm,other,276,2.5908973054874984,1.611754336312489,0.9794181051522103,0.9620061199926087,0.788020741848617,2.5908973054874984,1.0394745183427818,4.164104169449025,1.2535541732998,1.3661428301869578,1.1921707255144913,0.9858790645394288,1.042260945059251,1.312780625881493,0.8954091730757036,0.3986502504611361,1.7648867259031513,2.050248013705976,1.2016551834126206,0.8072980335073295
bspline_q_knot10,centered_ma21,2,left_lower_leg,lower_leg,276,0.7075081770227788,0.48896657948181765,0.9959349759971996,0.9963862882233233,0.30633417162610876,0.7075081770227788,0.4655073866184622,1.5572810171687752,0.39264377476512524,0.5354123904422173,-0.15222017834152002,0.7844163329289779,0.33899210596565105,0.45557887367097877,-0.03796812144033881,0.7547959251427947,0.3461817555885384,0.4722778944393641,-0.11879944077868393,0.9549493086886219
bspline_q_knot10,centered_ma21,3,right_lower_leg,lower_leg,276,0.6875160789824659,0.48687272506638546,0.9938060014262524,0.9963395053754076,0.2643059953389614,0.6875160789824659,0.48832037883061996,1.645678600873106,0.23665151734283005,0.3595758841463375,0.016398727029993915,0.8846054452066859,0.25854141844193573,0.34948763506973274,0.0458372649534241,0.7059587682340254,0.5198952349284968,0.6780108610593562,-0.0007814612856262997,0.9239923194698991
bspline_q_knot10,centered_ma21,4,head,other,276,0.6421859701746901,0.4363650937495732,0.9969773552498378,0.9970504588089878,0.19314093894941323,0.6421859701746901,0.3985481963828383,1.3635860884392244,0.372542609339175,0.5423399325429318,-0.03984093838843746,0.9536195745484535,0.37061814501520696,0.4677837963724671,-0.25756282223365085,0.9470717383224718,0.17802682821301447,0.24143156908306707,0.033483550168465874,0.9677614786760665
bspline_q_knot10,centered_ma21,5,pelvis,other,276,0.5425912523493802,0.36702896743175506,0.9965773570218174,0.9979192252655673,0.15282705175987243,0.5425912523493802,0.3312484289411682,1.194227303936176,0.2965887056338218,0.42934147162078257,0.19544488755512418,0.8916742708657669,0.14680273636527683,0.2118004835466273,-0.00891312308933424,0.566818513110628,0.32881434831348166,0.41825499963297086,-0.2892881622407214,0.8381522223644465
bspline_q_knot10,lowpass_5hz,0,left_forearm,other,276,2.11129020419287,1.4547337508836782,0.9680663925997189,0.9691682085812525,1.177385036121214,2.11129020419287,1.3752107226019998,5.424441687345906,0.7396916145647782,1.0109294363197157,0.3227182103024013,0.9654761754778078,0.8371045049617364,1.188747845889915,-0.2806838075630367,0.6566643964141875,1.530205237692681,1.978294996089985,0.4452776839767677,0.7692381037409332
bspline_q_knot10,lowpass_5hz,1,right_forearm,other,276,2.905529894446379,1.8436046200641667,0.9684670528997505,0.9512787130705606,1.155452629578466,2.905529894446379,1.3245867347381344,5.45495766612148,1.3264431968817245,1.6436753608998365,1.1797480499236912,0.9597024678761681,1.0334853621037758,1.3517123946135048,0.8890341075839124,0.45122024939653094,2.0342543426010273,2.3807223474367687,1.219037725293226,0.7419650669840584
bspline_q_knot10,lowpass_5hz,2,left_lower_leg,lower_leg,276,1.0958419109284834,0.8553810432723697,0.9873978898119278,0.989071858987132,0.49556105012730145,1.0958419109284834,0.9970760722341069,3.1936902677515553,0.5753146409988403,0.8657961061240624,-0.14588573877362238,0.654767881315804,0.5497782767545331,0.8283361318654817,-0.03737467469224045,0.5445044681995036,0.5730663695629092,0.8713704968816229,-0.11795500719892806,0.8716152092502819
bspline_q_knot10,lowpass_5hz,3,right_lower_leg,lower_leg,276,1.0503975488907977,0.8003681634996578,0.9833838178548543,0.9902142488557596,0.4525436778551387,1.0503975488907977,0.9046726373200693,2.9255038550275465,0.49694895917090814,0.8666432309845341,0.020900617475095,0.7133067790850827,0.4212899173262354,0.6113131072063879,0.06872253808483103,0.4327661247023203,0.6446689044507524,0.8927448608520825,0.01055505922430303,0.8418482795096176
