comparison_space,method,sensor_id,sensor_name,mapped_joint_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
model_world_linear_acc,raw_fd,0,left_forearm,18,16116,5.546930679401399,6.887388403677993,0.3878865930339926,0.38788052585627736,2.8081484387226823,5.546930679401399,10.561246001645346,20.70040811689455,2.8996746206409223,7.346823054281136,0.03053331101781553,0.28166581982358657,2.285086970118915,5.729792641788872,0.08687778712650421,0.5221504403304267,3.0912455227105817,7.449968077820171,-0.01738285244950832,0.3707701480766917
model_world_linear_acc,raw_fd,1,right_forearm,19,16116,5.0556959987796475,5.32875611832982,0.5389418201229228,0.5389326741665166,2.5339861418786076,5.0556959987796475,7.721843256233315,16.53634825790914,2.4478136791386955,5.006340141544594,-0.3447812853078687,0.4977476728062011,2.3152864843858447,5.058128472953824,0.05162543910894183,0.6080466754411982,2.7422851768969982,5.87697371477579,0.41981067993872556,0.5066401435586684
model_world_linear_acc,raw_fd,2,left_lower_leg,4,16116,3.5794390616027973,3.8102033749272834,0.6171347651453764,0.6170972750565734,1.8968531541073743,3.5794390616027973,5.544417487815457,11.812429971745988,1.9120941025997933,3.8157499155017773,0.12030270953533709,0.6287019669189396,1.454965551575883,3.552858606040861,-0.060283832320447414,0.5784123854079758,1.947769747293314,4.046010081889484,0.10888482223015919,0.6376268685647126
model_world_linear_acc,raw_fd,3,right_lower_leg,5,16116,4.062644921799859,4.463078318758436,0.5724440577969574,0.5724331326489666,2.116596675358943,4.062644921799859,6.576634433925053,14.048167132567041,2.130159117739528,4.211616553864736,-0.011920154127924543,0.5863090193199175,1.7196132001612907,4.353016802681566,0.059229222886110836,0.575188969939006,2.2008908558042837,4.803200491016314,0.13544040575848196,0.566040990905193
model_world_linear_acc,raw_fd,4,head,15,16116,2.698800301035997,2.65576858976177,0.4712129437980054,0.4711518418532849,1.3926745397383766,2.698800301035997,3.725023133112555,7.429940488471779,1.4443633725643785,2.5546620511288327,-0.05893696672040978,0.30259436461714256,1.014661867680991,1.9270275933240708,-0.005870561507713354,0.7725988377891388,1.5374115036167602,3.3044798177906194,-0.028360991099131375,0.2091372555480034
model_world_linear_acc,savgol15_p3_fd,0,left_forearm,18,16116,3.704991520834007,4.040846741551807,0.6366803819577006,0.6366594004316988,1.7501364557900598,3.704991520834007,5.937875461533162,13.821607447425936,1.8971373999253707,4.422516875488041,0.03609028434000408,0.52807708216691,1.6444780235015803,3.444069487430176,0.08493283809585458,0.7492247292025562,1.9923545681608188,4.191068720255669,-0.0024390638026703113,0.6275025578503246
model_world_linear_acc,savgol15_p3_fd,1,right_forearm,19,16116,3.906596169730017,4.1596267974016445,0.6999241015485242,0.6999030866749849,2.2648343679006335,3.906596169730017,6.05359328396254,13.64307412974855,1.8572100931304683,3.862639683659777,-0.34116854020420967,0.6825878428211375,1.882091218123102,4.075667503749327,0.04909854874052533,0.7394473103862194,2.080429504549334,4.514026401571443,0.43292386366364627,0.6763573829002245
model_world_linear_acc,savgol15_p3_fd,2,left_lower_leg,4,16116,3.408685198470184,3.685558818104415,0.5854039508114184,0.5853533161863588,2.0252394052519667,3.408685198470184,5.397304570139797,11.905034284347709,1.8222986082123978,3.745712085435443,0.12527977565325868,0.5913870250072267,1.4357385568951342,3.7124561263051565,-0.06242229165377585,0.4716358776715177,1.842475193801222,3.5968516633861656,0.12287113455505143,0.6561550741498385
model_world_linear_acc,savgol15_p3_fd,3,right_lower_leg,5,16116,3.7862265184504724,4.33238786177354,0.5377256821289191,0.5377195720456004,2.215959779569883,3.7862265184504724,6.478675983988591,13.54267132654471,1.9222557683896941,3.948264221402985,-0.004816148111462171,0.5707560567200888,1.6979701433170815,4.683516539934515,0.05588425192903366,0.44366444856147585,2.0200152283602715,4.334124618960216,0.1486780831316261,0.5903647363919984
model_world_linear_acc,savgol15_p3_fd,4,head,15,16116,1.7472258693231932,1.4463900423804574,0.7282221874534095,0.7281561270555026,0.8662365260826621,1.7472258693231932,1.7953646497744784,4.93361888989763,0.8733668565963882,1.4219728716861868,-0.055517016047433615,0.5874392724458084,0.7489691495425679,1.3029577414617315,-0.007135393864968244,0.866011222161072,0.9606003481917269,1.5988829664004516,-0.017157930731516793,0.5365693918076642
