group,mahalanobis,max_abs_z,ref,sequence_index_in_group
DIP/train,27.99061008691855,,TotalCapture_train,12
DIP/all,27.99061008691855,,TotalCapture_train,12
AMASS/train,27.964916088927694,,TotalCapture_train,1181
AMASS/all,27.964916088927694,,TotalCapture_train,1181
ALL/all,27.964916088927694,,TotalCapture_train,1181
AMASS/train,27.92973792706013,,TotalCapture_train,697
AMASS/all,27.92973792706013,,TotalCapture_train,697
ALL/all,27.92973792706013,,TotalCapture_train,697
AMASS/train,27.85347720351064,,TotalCapture_train,1135
AMASS/all,27.85347720351064,,TotalCapture_train,1135
ALL/all,27.85347720351064,,TotalCapture_train,1135
AMASS/train,27.74632602469654,,TotalCapture_train,395
AMASS/all,27.74632602469654,,TotalCapture_train,395
ALL/all,27.74632602469654,,TotalCapture_train,395
AMASS/train,27.71046158199533,,TotalCapture_train,743
AMASS/all,27.71046158199533,,TotalCapture_train,743
ALL/all,27.71046158199533,,TotalCapture_train,743
AMASS/train,27.662356129262783,,TotalCapture_train,657
AMASS/all,27.662356129262783,,TotalCapture_train,657
ALL/all,27.662356129262783,,TotalCapture_train,657
AMASS/train,27.63268516251508,,TotalCapture_train,397
AMASS/all,27.63268516251508,,TotalCapture_train,397
ALL/all,27.63268516251508,,TotalCapture_train,397
AMASS/train,27.600944760007504,,TotalCapture_train,157
AMASS/all,27.600944760007504,,TotalCapture_train,157
ALL/all,27.600944760007504,,TotalCapture_train,157
AMASS/train,27.472133800770244,,TotalCapture_train,991
AMASS/all,27.472133800770244,,TotalCapture_train,991
ALL/all,27.472133800770244,,TotalCapture_train,991
AMASS/train,27.456136060317828,,TotalCapture_train,1287
AMASS/all,27.456136060317828,,TotalCapture_train,1287
ALL/all,27.456136060317828,,TotalCapture_train,1287
AMASS/train,27.44146146845839,,TotalCapture_train,253
AMASS/all,27.44146146845839,,TotalCapture_train,253
ALL/all,27.44146146845839,,TotalCapture_train,253
AMASS/train,27.407269919150952,,TotalCapture_train,801
AMASS/all,27.407269919150952,,TotalCapture_train,801
ALL/all,27.407269919150952,,TotalCapture_train,801
AMASS/train,27.379526260940743,,TotalCapture_train,819
AMASS/all,27.379526260940743,,TotalCapture_train,819
ALL/all,27.379526260940743,,TotalCapture_train,819
AMASS/train,27.29611096985457,,TotalCapture_train,875
AMASS/all,27.29611096985457,,TotalCapture_train,875
ALL/all,27.29611096985457,,TotalCapture_train,875
AMASS/train,27.229556997914802,,TotalCapture_train,289
AMASS/all,27.229556997914802,,TotalCapture_train,289
ALL/all,27.229556997914802,,TotalCapture_train,289
AMASS/train,27.21623918924701,,TotalCapture_train,1209
AMASS/all,27.21623918924701,,TotalCapture_train,1209
ALL/all,27.21623918924701,,TotalCapture_train,1209
AMASS/train,27.16254752335942,,TotalCapture_train,769
AMASS/all,27.16254752335942,,TotalCapture_train,769
ALL/all,27.16254752335942,,TotalCapture_train,769
AMASS/train,27.14240647197037,,TotalCapture_train,711
AMASS/all,27.14240647197037,,TotalCapture_train,711
ALL/all,27.14240647197037,,TotalCapture_train,711
AMASS/train,27.111565743279208,,TotalCapture_train,81
AMASS/all,27.111565743279208,,TotalCapture_train,81
ALL/all,27.111565743279208,,TotalCapture_train,81
AMASS/train,27.104893743239348,,TotalCapture_train,1239
AMASS/all,27.104893743239348,,TotalCapture_train,1239
ALL/all,27.104893743239348,,TotalCapture_train,1239
ALL/all,27.048860979594778,,TotalCapture_train,1307
DIP/train,27.048860979594778,,TotalCapture_train,9
DIP/all,27.048860979594778,,TotalCapture_train,9
AMASS/train,26.995479400534663,,TotalCapture_train,343
AMASS/all,26.995479400534663,,TotalCapture_train,343
