autocorr_lag1,autocorr_lag2,autocorr_lag4,autocorr_lag8,count,covariance_xyz,crosscorr_best_corr,crosscorr_best_lag,dataset,energy,group,high_frequency_energy_ratio,kurtosis,l2,mae,mae_x,mae_y,mae_z,max_abs,mean,mean_x,mean_y,mean_z,p50,p75,p90,p95,p95_abs_x,p95_abs_y,p95_abs_z,p99,quantity,rms,rms_x,rms_y,rms_z,sensor,sensor_index,sequence,sequence_stat_sample_frames,skewness,split,std,std_x,std_y,std_z
0.9470131743426676,0.8087203525473123,0.4338210816316204,-0.1352325874622238,1370,"[[0.4852942192195116, 0.07885737117076162, 0.006585842088886001], [0.07885737117076162, 0.3454992061578548, 0.10739630089256563], [0.006585842088886001, 0.10739630089256563, 0.27086858159771826]]",,,AMASS,0.7505981978792264,AMASS/train,,20.359649694614376,0.7505981978792264,0.36874118089169455,0.4284981242566281,0.29459205940977606,0.3831333590086794,6.135532379150391,-0.03666913870947522,-0.03239855749828292,-0.026973118686735846,-0.05063573994340688,0.5690084571147849,0.8831911509075615,1.263827086487118,1.7540712153438787,1.0903971076011658,0.9559244751930228,1.0455170333385466,4.6571285702359475,e_base,0.6069593802835443,0.6971295836430889,0.588196026922971,0.522718705867886,left_forearm,0,HumanEva/S1/Box_1_poses::original,1370,-2.6874068480422983,train,0.6058506941322173,0.6963763277585023,0.5875772433955213,0.5202603841391167
0.9470131743426676,0.8087203525473123,0.4338210816316204,-0.1352325874622238,1370,"[[0.4852942192195116, 0.07885737117076162, 0.006585842088886001], [0.07885737117076162, 0.3454992061578548, 0.10739630089256563], [0.006585842088886001, 0.10739630089256563, 0.27086858159771826]]",,,AMASS,0.7505981978792264,AMASS/train,,20.359649694614376,0.7505981978792264,0.36874118089169455,0.4284981242566281,0.29459205940977606,0.3831333590086794,6.135532379150391,0.03666913870947522,0.03239855749828292,0.026973118686735846,0.05063573994340688,0.5690084571147849,0.8831911509075615,1.263827086487118,1.7540712153438787,1.0903971076011658,0.9559244751930228,1.0455170333385466,4.6571285702359475,c_true,0.6069593802835443,0.6971295836430889,0.588196026922971,0.522718705867886,left_forearm,0,HumanEva/S1/Box_1_poses::original,1370,2.6874068480422983,train,0.6058506941322173,0.6963763277585023,0.5875772433955213,0.5202603841391167
0.9455592599680273,0.8063461644590934,0.4468538398293826,-0.039120130158517466,1370,"[[0.24909235319169196, 0.027657463976760086, -0.07582614827174293], [0.027657463976760086, 0.16791534829076166, -0.11748202837923531], [-0.07582614827174293, -0.11748202837923531, 0.4318690766409277]]",,,AMASS,0.6944388314602785,AMASS/train,,20.46425152243732,0.6944388314602785,0.34079225593496276,0.35654548466559094,0.24170422648638615,0.42412705665291117,5.710702896118164,-0.02314588852305548,-0.02279746388730994,-0.01527975988545647,-0.03136044179640003,0.5665877427692598,0.8434255202840232,1.1861119259468829,1.3824221921982254,0.8852441132068632,0.7529086530208587,1.14434135556221,3.175727146806717,e_base,0.5322887163838423,0.49942993333948144,0.4099100552624458,0.6576756959535113,right_forearm,1,HumanEva/S1/Box_1_poses::original,1370,0.9016710369857317,train,0.5317852437159543,0.49890934442620505,0.4096251729851379,0.6569275787621266
0.9455592599680273,0.8063461644590934,0.4468538398293826,-0.039120130158517466,1370,"[[0.24909235319169196, 0.027657463976760086, -0.07582614827174293], [0.027657463976760086, 0.16791534829076166, -0.11748202837923531], [-0.07582614827174293, -0.11748202837923531, 0.4318690766409277]]",,,AMASS,0.6944388314602785,AMASS/train,,20.46425152243732,0.6944388314602785,0.34079225593496276,0.35654548466559094,0.24170422648638615,0.42412705665291117,5.710702896118164,0.02314588852305548,0.02279746388730994,0.01527975988545647,0.03136044179640003,0.5665877427692598,0.8434255202840232,1.1861119259468829,1.3824221921982254,0.8852441132068632,0.7529086530208587,1.14434135556221,3.175727146806717,c_true,0.5322887163838423,0.49942993333948144,0.4099100552624458,0.6576756959535113,right_forearm,1,HumanEva/S1/Box_1_poses::original,1370,-0.9016710369857317,train,0.5317852437159543,0.49890934442620505,0.4096251729851379,0.6569275787621266
0.933583950461214,0.7690968877713206,0.3850202882882661,-0.013531415663718372,1370,"[[0.1245571906257879, 0.004376965545532871, 0.00019468550823049534], [0.004376965545532871, 0.020557116673153027, 0.0021383160878177994], [0.00019468550823049534, 0.0021383160878177994, 0.13846290903710715]]",,,AMASS,0.4779327679430235,AMASS/train,,1.7092259856238599,0.4779327679430235,0.22636328731797217,0.2716231572965201,0.10490423115514165,0.30256247350225485,1.9340355396270752,-0.0063172401649619105,0.012088135782166989,-0.0010002698837677493,-0.03003958639328497,0.4483051093718532,0.6139673260747757,0.8018886611400978,0.8951949967466185,0.7035933375358581,0.291017909348011,0.7263853788375854,1.096916410884937,e_base,0.3079067640181563,0.35300481015856555,0.14332868525993486,0.3731812133146193,left_lower_leg,2,HumanEva/S1/Box_1_poses::original,1370,-0.08038467402760384,train,0.3078419526393873,0.3527977791432321,0.1433251948489905,0.3719702155015799
0.933583950461214,0.7690968877713206,0.3850202882882661,-0.013531415663718372,1370,"[[0.1245571906257879, 0.004376965545532871, 0.00019468550823049534], [0.004376965545532871, 0.020557116673153027, 0.0021383160878177994], [0.00019468550823049534, 0.0021383160878177994, 0.13846290903710715]]",,,AMASS,0.4779327679430235,AMASS/train,,1.7092259856238599,0.4779327679430235,0.22636328731797217,0.2716231572965201,0.10490423115514165,0.30256247350225485,1.9340355396270752,0.0063172401649619105,-0.012088135782166989,0.0010002698837677493,0.03003958639328497,0.4483051093718532,0.6139673260747757,0.8018886611400978,0.8951949967466185,0.7035933375358581,0.291017909348011,0.7263853788375854,1.096916410884937,c_true,0.3079067640181563,0.35300481015856555,0.14332868525993486,0.3731812133146193,left_lower_leg,2,HumanEva/S1/Box_1_poses::original,1370,0.08038467402760381,train,0.3078419526393873,0.3527977791432321,0.1433251948489905,0.3719702155015799
0.933411173157046,0.7674095335250464,0.3766982749030865,-0.03686325186618861,1370,"[[0.13661884976118419, 0.005125198025352198, -0.001521328609385137], [0.005125198025352198, 0.017529660884704038, 0.0006618280990109015], [-0.001521328609385137, 0.0006618280990109015, 0.13230021419659002]]",,,AMASS,0.4794382413243443,AMASS/train,,1.4332055494838398,0.4794382413243443,0.2278309150235818,0.29027985605125717,0.09874784242800254,0.2944650465914857,1.57985520362854,0.017417942114919878,0.04593626053657138,-4.025192771542029e-05,0.006357817735903672,0.4461927148954703,0.6354689862658099,0.7910403933973393,0.8855244022557723,0.7112159907817841,0.25922659635543815,0.7071564048528671,1.1156083666984713,e_base,0.3100484917345853,0.3723295153558486,0.13235130196568975,0.36365377289881023,right_lower_leg,3,HumanEva/S1/Box_1_poses::original,1370,-0.102723655390406,train,0.30955885146345363,0.3694849495893403,0.13235129584479144,0.36359819127324666
0.933411173157046,0.7674095335250464,0.3766982749030865,-0.03686325186618861,1370,"[[0.13661884976118419, 0.005125198025352198, -0.001521328609385137], [0.005125198025352198, 0.017529660884704038, 0.0006618280990109015], [-0.001521328609385137, 0.0006618280990109015, 0.13230021419659002]]",,,AMASS,0.4794382413243443,AMASS/train,,1.4332055494838398,0.4794382413243443,0.2278309150235818,0.29027985605125717,0.09874784242800254,0.2944650465914857,1.57985520362854,-0.017417942114919878,-0.04593626053657138,4.025192771542029e-05,-0.006357817735903672,0.4461927148954703,0.6354689862658099,0.7910403933973393,0.8855244022557723,0.7112159907817841,0.25922659635543815,0.7071564048528671,1.1156083666984713,c_true,0.3100484917345853,0.3723295153558486,0.13235130196568975,0.36365377289881023,right_lower_leg,3,HumanEva/S1/Box_1_poses::original,1370,0.102723655390406,train,0.30955885146345363,0.3694849495893403,0.13235129584479144,0.36359819127324666
0.9340430082600387,0.7695347758412322,0.3755501445846127,-0.055767082088419684,1370,"[[0.13917915669783842, -3.230066056382655e-05, -0.006367474732795783], [-3.230066056382655e-05, 0.01670555162154338, 0.0007847232363304888], [-0.006367474732795783, 0.0007847232363304888, 0.15062898755851584]]",,,AMASS,0.49665677616506304,AMASS/train,,1.1164601179950226,0.49665677616506304,0.23384044614287405,0.291881584405328,0.09524317249608137,0.3143965815272128,1.5506389141082764,0.009174387353878025,0.010082365482039477,-0.00039199831297308425,0.01783279489256768,0.47212520415781867,0.6539752588287198,0.8098104062882429,0.9261635032429345,0.7336594402790069,0.26332051157951347,0.7286805063486099,1.1668527136008033,e_base,0.3197445749256951,0.3730673131838608,0.12920337244406727,0.3883774555327525,head,4,HumanEva/S1/Box_1_poses::original,1370,-0.06737540014203934,train,0.3196129281038151,0.3729310473432207,0.1292027777884167,0.3879678329351735
0.9340430082600387,0.7695347758412322,0.3755501445846127,-0.055767082088419684,1370,"[[0.13917915669783842, -3.230066056382655e-05, -0.006367474732795783], [-3.230066056382655e-05, 0.01670555162154338, 0.0007847232363304888], [-0.006367474732795783, 0.0007847232363304888, 0.15062898755851584]]",,,AMASS,0.49665677616506304,AMASS/train,,1.1164601179950226,0.49665677616506304,0.23384044614287405,0.291881584405328,0.09524317249608137,0.3143965815272128,1.5506389141082764,-0.009174387353878025,-0.010082365482039477,0.00039199831297308425,-0.01783279489256768,0.47212520415781867,0.6539752588287198,0.8098104062882429,0.9261635032429345,0.7336594402790069,0.26332051157951347,0.7286805063486099,1.1668527136008033,c_true,0.3197445749256951,0.3730673131838608,0.12920337244406727,0.3883774555327525,head,4,HumanEva/S1/Box_1_poses::original,1370,0.06737540014203933,train,0.3196129281038151,0.3729310473432207,0.1292027777884167,0.3879678329351735
