corr_joint_site,corr_offset_site,dataset,group,joint_contribution_ratio,joint_l2,num_sequences,offset_contribution_ratio,offset_l2,sensor,sensor_index,site_l2,split,valid_frames
0.7437165574994398,-0.028515644973509283,DIP,DIP/test,1.135930680741771,3.7040786093679534,19,0.7549387340542075,1.8438052108966545,head,4.0,3.191002646044994,test,57956
0.7287390738565516,0.37100523195210566,DIP,DIP/test,0.9190809537768899,5.860547120137626,19,0.7367382588106551,4.68720590630561,left_forearm,0.0,6.762252048594881,test,57956
0.8379278552805276,-0.2282297780376862,DIP,DIP/test,1.3098547310531818,6.087395394613172,19,0.680285440040915,3.108783593396299,left_lower_leg,2.0,4.636519110566242,test,57956
0.7211727097360386,0.32291679762699055,DIP,DIP/test,0.9192057890492662,5.737782146203953,19,0.7290251924713474,4.721405639056628,right_forearm,1.0,6.758811218437921,test,57956
0.8567529760937063,-0.3816852038355306,DIP,DIP/test,1.4156419272024248,6.929527171191135,19,0.765397142718911,3.878281373179926,right_lower_leg,3.0,4.537061293034731,test,57956
0.5762657740477706,0.08310430143440264,DIP,DIP/train,1.1248573220252762,2.4139229497297277,36,0.8772368988686005,1.3210319934309378,head,4.0,2.026629505547408,train,228735
0.6881745303240819,0.340755447978336,DIP,DIP/train,0.9291698333226697,3.7270845124528016,36,0.7405103326239898,2.976810482796662,left_forearm,0.0,4.268242039795815,train,228735
0.7872362074094037,-0.1907984589121629,DIP,DIP/train,1.3030378293654414,4.063122080335758,36,0.7568037813988284,2.160383510783865,left_lower_leg,2.0,2.9111056147525773,train,228735
0.7210371707551919,0.33316258829208895,DIP,DIP/train,0.9165642093108032,3.685405082044089,36,0.7002315976945346,2.8628143467207274,right_forearm,1.0,4.233093485832058,train,228735
0.7855401721161325,-0.2822877326272505,DIP,DIP/train,1.3842822798411594,4.404508686390752,36,0.8209202670801126,2.3194109260363613,right_lower_leg,3.0,2.9682572313995887,train,228735
0.5688321607449325,0.14143508852308376,DIP,DIP/val,1.150455934917118,2.2958493556106325,6,0.9653457074629795,1.5583739968714896,head,4.0,1.8322531462661342,val,30759
0.69278871710139,0.3604891609093178,DIP,DIP/val,0.9525704405398381,3.7384031350050138,6,0.7984020814225463,3.3892919780947675,left_forearm,0.0,4.478506835641219,val,30759
0.8475257724650747,-0.2644918950318557,DIP,DIP/val,1.3293327106688957,3.8661704646672526,6,0.7099139462243155,1.9576407890904806,left_lower_leg,2.0,2.783742271527237,val,30759
0.7490659384206535,0.2124641167270239,DIP,DIP/val,1.0198147963855895,3.649434495962055,6,0.7543719579329466,3.0672830159737248,right_forearm,1.0,4.144230745708319,val,30759
0.9014980130058101,-0.35066845776685224,DIP,DIP/val,1.2865561086655035,4.164415860025714,6,0.6112440537840923,1.9612364682207462,right_lower_leg,3.0,2.88537169087828,val,30759
0.5924281333539151,0.554661852071274,TotalCapture,TotalCapture/test,0.8347293308190123,2.0373155367332996,4,0.858410023150979,2.132259121468417,head,4.0,2.4786146401353024,test,16116
0.5606130145747152,0.7063884585902627,TotalCapture,TotalCapture/test,0.6943019504699792,4.042371000278141,4,0.7805916475366499,4.671932657670667,left_forearm,0.0,6.003407472370576,test,16116
0.7571418418405482,0.31002438010597066,TotalCapture,TotalCapture/test,1.032096034874245,4.368590095042295,4,0.6912766282013729,3.081716832595506,left_lower_leg,2.0,4.411632711204177,test,16116
0.6195231860880012,0.6747066275404825,TotalCapture,TotalCapture/test,0.6930683800351031,4.108244924613044,4,0.7736802661343466,4.820943771217265,right_forearm,1.0,6.31987290293326,test,16116
0.766520862337976,0.3260401664628007,TotalCapture,TotalCapture/test,1.045786402614722,4.647417589870449,4,0.6776458662300081,3.11335034373677,right_lower_leg,3.0,4.607195205940269,test,16116
0.619124740225391,0.39289040058748426,TotalCapture,TotalCapture/train,0.913233109064432,2.0336152719097598,36,0.7963542211475572,1.759082500846381,head,4.0,2.228487950451174,train,142830
0.6329802249327812,0.5155605804326375,TotalCapture,TotalCapture/train,0.8446836442575313,4.187290053865718,36,0.777991237647809,3.904635664202006,left_forearm,0.0,4.954865665400069,train,142830
0.7973631702117416,0.19342344796074598,TotalCapture,TotalCapture/train,1.04737828132202,3.6180624651156044,36,0.638123488494439,2.3986299865245653,left_lower_leg,2.0,3.5295790946784913,train,142830
0.6105013376376885,0.5398244280403252,TotalCapture,TotalCapture/train,0.8836329751953494,4.257595724424528,36,0.8003531460258579,3.9376243744395256,right_forearm,1.0,5.081786103526693,train,142830
0.685896830548396,0.34567774434663145,TotalCapture,TotalCapture/train,1.034495811792329,3.7845744006166204,36,0.7805425096090657,3.045816857250333,right_lower_leg,3.0,3.7821651349220926,train,142830
0.6796092095533007,0.27921248426377465,TotalCapture,TotalCapture/val,0.982763247217617,4.7988026883914765,5,0.8208215199508305,3.9026723661310814,head,4.0,4.733168897225441,val,17213
0.6539075192581435,0.4654246975308105,TotalCapture,TotalCapture/val,0.8980792478529434,7.013761738249324,5,0.7340639135991025,5.350686755316376,left_forearm,0.0,7.6095522574611625,val,17213
0.7210082084072994,0.19856022291088066,TotalCapture,TotalCapture/val,1.100684146050593,7.256933449009021,5,0.7377458787605722,5.129426104972705,left_lower_leg,2.0,6.978364437162332,val,17213
0.6055264403804804,0.5310253663160096,TotalCapture,TotalCapture/val,0.8544096673088293,6.679199009210915,5,0.7742143880480885,5.983664242302818,right_forearm,1.0,7.741618363936082,val,17213
0.7334142327328202,0.2380240046564627,TotalCapture,TotalCapture/val,1.059530914858246,6.708077127968268,5,0.7389614597332579,5.065608612589215,right_lower_leg,3.0,6.726334639971824,val,17213
