base_l2,correction_corr,correction_cosine,dataset,harmful_rate,overcorrection_rate,pred_l2,sequence,split,valid_frames
0.7122876048088074,-0.054138163162912215,-0.006632467731833458,TotalCapture,0.8701240420341492,0.5677000880241394,1.3910236358642578,s2_walking3,train,3548
0.9602143168449402,-0.030910232282807926,0.039401303976774216,TotalCapture,0.8293144106864929,0.49852246046066284,1.710667610168457,s3_walking3,train,3384
0.7072746753692627,0.1479117233425106,0.17660439014434814,TotalCapture,0.8223142623901367,0.5933167338371277,1.3167718648910522,s3_acting1,train,3621
0.9745237231254578,0.05767017208369047,0.029622551053762436,TotalCapture,0.8207820057868958,0.47380825877189636,1.639433741569519,s5_walking2,test,3734
0.6508439779281616,0.16900857982131928,0.11316319555044174,TotalCapture,0.8149571418762207,0.5379840135574341,1.124297022819519,s2_acting1,train,3383
0.8939982652664185,0.17488050068662914,0.23293280601501465,TotalCapture,0.813139796257019,0.6052966713905334,1.5879241228103638,s3_freestyle3,train,3927
0.8168895244598389,0.2009035997245497,0.15335655212402344,TotalCapture,0.8090512752532959,0.5164121985435486,1.3003244400024414,s1_walking1,train,3668
0.7596447467803955,0.18935092603793052,0.14874576032161713,TotalCapture,0.7970809936523438,0.4954512417316437,1.1574679613113403,s1_acting1,train,4111
0.8901004195213318,0.4405147313955583,0.383255273103714,TotalCapture,0.7791345715522766,0.6296976804733276,1.3643066883087158,s4_walking2,val,3374
0.8305675983428955,0.2528512317454337,0.23264296352863312,TotalCapture,0.7640537619590759,0.5060470104217529,1.2446552515029907,s2_walking2,train,3572
1.1962217092514038,0.2988329278880357,0.27956685423851013,TotalCapture,0.7523461580276489,0.5258780717849731,1.782558798789978,s5_freestyle3,test,3559
0.7728762626647949,0.3141535577308087,0.32772693037986755,TotalCapture,0.7475115656852722,0.540587306022644,1.178781270980835,s3_walking2,train,3235
0.2529127597808838,0.3592678403125585,0.21079859137535095,DIP,0.7328789234161377,0.4622780382633209,0.3217167854309082,s08_05,val,5575
1.1523202657699585,-0.05847139434069349,0.07171610742807388,TotalCapture,0.7305026054382324,0.26984402537345886,1.5515855550765991,s1_freestyle1,train,2308
0.5952265858650208,0.5935322550257035,0.36725935339927673,DIP,0.7230011224746704,0.5423266291618347,0.8932810425758362,s09_01_b,test,2639
0.35814169049263,0.5153681780463094,0.3151368200778961,DIP,0.7142689228057861,0.5438259243965149,0.4575445055961609,s08_01_b,val,5102
1.023252010345459,0.3412673645675199,0.29287275671958923,TotalCapture,0.7122410535812378,0.4688637852668762,1.368420958518982,s1_walking2,train,3186
1.2531489133834839,0.13133710086595926,0.10118575394153595,TotalCapture,0.7115309238433838,0.3162866532802582,1.7620397806167603,s5_freestyle1,test,3070
1.0725162029266357,0.44331919884232046,0.41496366262435913,TotalCapture,0.7072260975837708,0.5513286590576172,1.4692529439926147,s3_acting3,train,4290
0.17309841513633728,0.43997586190362087,0.27827009558677673,DIP,0.6997782588005066,0.4617772400379181,0.1960979700088501,s07_05,train,5863
1.3573764562606812,0.31336034411349345,0.33497005701065063,TotalCapture,0.6770780682563782,0.422558069229126,1.703033685684204,s4_acting3,val,3573
0.23594477772712708,0.24881571878114742,0.17080305516719818,DIP,0.6715323328971863,0.2814001142978668,0.27375513315200806,s06_05,train,5371
