mode,sequence_id,variant,qd_roughness,qdd_roughness,jerk,high_frequency_energy
A,s5_freestyle1,original,0.36354249715805054,13.0697603225708,542.4364624023438,0.9974763582366319
A,s5_freestyle1,refined,0.3635472357273102,13.069988250732422,542.4453125,0.9974910632815447
