mode,sequence_id,signal_filter,sensor_id,sensor_name,sensor_group,variant,acc_rmse,acc_mean_norm
A,s5_freestyle1,raw,0,left_forearm,fit,original,0.7285780767168946,1.0734640949888494
A,s5_freestyle1,raw,0,left_forearm,fit,refined,0.7950175076768885,1.1856591212682057
A,s5_freestyle1,raw,0,left_forearm,fit,delta,0.06643943095999394,0.11219502627935629
A,s5_freestyle1,raw,1,right_forearm,fit,original,1.32666954591837,2.179676333057444
A,s5_freestyle1,raw,1,right_forearm,fit,refined,1.3737090062715667,2.258755800914713
A,s5_freestyle1,raw,1,right_forearm,fit,delta,0.04703946035319673,0.07907946785726905
A,s5_freestyle1,raw,2,left_lower_leg,heldout,original,0.8732976523636198,1.1091662251028516
A,s5_freestyle1,raw,2,left_lower_leg,heldout,refined,0.9430432101199382,1.2786370693168705
A,s5_freestyle1,raw,2,left_lower_leg,heldout,delta,0.06974555775631841,0.16947084421401892
A,s5_freestyle1,raw,3,right_lower_leg,heldout,original,2.161832211923515,1.4000896514897203
A,s5_freestyle1,raw,3,right_lower_leg,heldout,refined,2.179044032355361,1.565016989531516
A,s5_freestyle1,raw,3,right_lower_leg,heldout,delta,0.01721182043184566,0.1649273380417957
A,s5_freestyle1,raw,4,head,fit,original,0.6508656828985311,0.8661472506966469
A,s5_freestyle1,raw,4,head,fit,refined,0.7272033950964099,1.042059934710894
A,s5_freestyle1,raw,4,head,fit,delta,0.07633771219787877,0.1759126840142472
A,s5_freestyle1,raw,5,pelvis,other,original,0.701010784320224,0.8569441042559021
A,s5_freestyle1,raw,5,pelvis,other,refined,0.7880280032792261,1.0611326212045753
A,s5_freestyle1,raw,5,pelvis,other,delta,0.08701721895900205,0.20418851694867324
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,original,0.4541609273423667,0.6847617214513905
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,refined,0.46116070868495174,0.6940740294583784
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,delta,0.006999781342585054,0.009312308006987902
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,original,1.2125864003869156,2.0323793520941518
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,refined,1.2174965120108332,2.038934573752412
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,delta,0.0049101116239176346,0.00655522165826028
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,original,0.3754188981081268,0.48678800135042316
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,refined,0.3820426452062161,0.5028764382745633
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,delta,0.006623747098089328,0.016088436924140137
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,original,1.8571694452953054,0.8226847089152577
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,refined,1.8613693062190133,0.8421169048832765
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,delta,0.004199860923707943,0.019432195968018817
A,s5_freestyle1,savgol9_p3,4,head,fit,original,0.4875113071507328,0.5881301297218833
A,s5_freestyle1,savgol9_p3,4,head,fit,refined,0.4939962313915829,0.6025394974858178
A,s5_freestyle1,savgol9_p3,4,head,fit,delta,0.006484924240850065,0.014409367763934533
A,s5_freestyle1,savgol9_p3,5,pelvis,other,original,0.4994175145434702,0.5546295464640302
A,s5_freestyle1,savgol9_p3,5,pelvis,other,refined,0.5064570084047637,0.572719334880769
A,s5_freestyle1,savgol9_p3,5,pelvis,other,delta,0.007039493861293489,0.018089788416738806
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,original,0.39181280455363443,0.6177947558294826
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,refined,0.39529530092221715,0.6236447224635261
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,delta,0.0034824963685827215,0.005849966634043469
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,original,1.1942696335634735,2.013164050245516
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,refined,1.1974504423428314,2.017150532099245
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,delta,0.003180808779357891,0.003986481853729185
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,original,0.3235699060172959,0.40985993105092605
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,refined,0.329012809906726,0.41811986062912343
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,delta,0.005442903889430084,0.008259929578197378
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,original,1.5583035672129792,0.7248715066995052
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,refined,1.5622603922577827,0.7331760523043411
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,delta,0.003956825044803436,0.008304545604835956
A,s5_freestyle1,savgol15_p3,4,head,fit,original,0.3678897352649432,0.49064976259025084
A,s5_freestyle1,savgol15_p3,4,head,fit,refined,0.3732442895539342,0.4975339408013792
A,s5_freestyle1,savgol15_p3,4,head,fit,delta,0.005354554288991009,0.006884178211128356
A,s5_freestyle1,savgol15_p3,5,pelvis,other,original,0.3466148595650991,0.46163657953686016
A,s5_freestyle1,savgol15_p3,5,pelvis,other,refined,0.35229679897188865,0.4688558118173504
A,s5_freestyle1,savgol15_p3,5,pelvis,other,delta,0.005681939406789571,0.007219232280490262
