mode,sequence_id,signal_filter,sensor_group,original_acc_rmse,refined_acc_rmse,delta_acc_rmse
A,s5_freestyle1,raw,all,1.2001449674228177,1.2063841858828808,0.006239218460063034
A,s5_freestyle1,raw,fit,0.9512280194770537,0.9598372444514022,0.008609224974348462
A,s5_freestyle1,raw,heldout,1.648661169272499,1.651773946012837,0.0031127767403378304
A,s5_freestyle1,savgol9_p3,all,0.9792625416059748,0.9804902243332088,0.0012276827272339474
A,s5_freestyle1,savgol9_p3,fit,0.7988106160468809,0.8004818976363272,0.001671281589446294
A,s5_freestyle1,savgol9_p3,heldout,1.3397794030352892,1.3405167349007618,0.0007373318654726457
A,s5_freestyle1,savgol15_p3,all,0.8532574290444628,0.8546435653787373,0.0013861363342745348
A,s5_freestyle1,savgol15_p3,fit,0.7561172944231443,0.7576628081693626,0.0015455137462182522
A,s5_freestyle1,savgol15_p3,heldout,1.1253904859356014,1.126519948585994,0.0011294626503925986
