mode,sequence_id,signal_filter,sensor_id,sensor_name,sensor_group,variant,acc_rmse,acc_mean_norm
A,s5_freestyle1,raw,0,left_forearm,fit,original,0.7285780767168946,1.0734640949888494
A,s5_freestyle1,raw,0,left_forearm,fit,refined,0.7376271802934989,1.0906296253661636
A,s5_freestyle1,raw,0,left_forearm,fit,delta,0.009049103576604378,0.017165530377314164
A,s5_freestyle1,raw,1,right_forearm,fit,original,1.32666954591837,2.179676333057444
A,s5_freestyle1,raw,1,right_forearm,fit,refined,1.3351630267004815,2.1948336621515727
A,s5_freestyle1,raw,1,right_forearm,fit,delta,0.00849348078211154,0.015157329094128702
A,s5_freestyle1,raw,2,left_lower_leg,heldout,original,0.8732976523636198,1.1091662251028516
A,s5_freestyle1,raw,2,left_lower_leg,heldout,refined,0.8839497644726739,1.1390865624061333
A,s5_freestyle1,raw,2,left_lower_leg,heldout,delta,0.010652112109054146,0.029920337303281697
A,s5_freestyle1,raw,3,right_lower_leg,heldout,original,2.161832211923515,1.4000896514897203
A,s5_freestyle1,raw,3,right_lower_leg,heldout,refined,2.162255107831252,1.4290329875282248
A,s5_freestyle1,raw,3,right_lower_leg,heldout,delta,0.00042289590773680885,0.02894333603850452
A,s5_freestyle1,raw,4,head,fit,original,0.6508656828985311,0.8661472506966469
A,s5_freestyle1,raw,4,head,fit,refined,0.6611417718859203,0.8919796853190282
A,s5_freestyle1,raw,4,head,fit,delta,0.010276088987389187,0.025832434622381273
A,s5_freestyle1,raw,5,pelvis,other,original,0.701010784320224,0.8569441042559021
A,s5_freestyle1,raw,5,pelvis,other,refined,0.7152621049153851,0.8936370130859299
A,s5_freestyle1,raw,5,pelvis,other,delta,0.014251320595161099,0.03669290883002785
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,original,0.4541609273423667,0.6847617214513905
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,refined,0.45609916400226497,0.6874837927657592
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,delta,0.0019382366598982848,0.002722071314368746
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,original,1.2125864003869156,2.0323793520941518
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,refined,1.2146575527414802,2.0348766299893275
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,delta,0.002071152354564676,0.0024972778951757313
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,original,0.3754188981081268,0.48678800135042316
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,refined,0.3780257734881201,0.49177267413320314
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,delta,0.002606875379993323,0.004984672782779975
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,original,1.8571694452953054,0.8226847089152577
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,refined,1.8577046987281662,0.8246144773545594
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,delta,0.0005352534328608716,0.0019297684393017045
A,s5_freestyle1,savgol9_p3,4,head,fit,original,0.4875113071507328,0.5881301297218833
A,s5_freestyle1,savgol9_p3,4,head,fit,refined,0.48876823494871185,0.5910919055046904
A,s5_freestyle1,savgol9_p3,4,head,fit,delta,0.001256927797979035,0.0029617757828070967
A,s5_freestyle1,savgol9_p3,5,pelvis,other,original,0.4994175145434702,0.5546295464640302
A,s5_freestyle1,savgol9_p3,5,pelvis,other,refined,0.5018789113417211,0.5592462114559271
A,s5_freestyle1,savgol9_p3,5,pelvis,other,delta,0.0024613967982509144,0.004616664991896946
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,original,0.39181280455363443,0.6177947558294826
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,refined,0.39355287079412005,0.6208259714135701
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,delta,0.001740066240485616,0.0030312155840874766
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,original,1.1942696335634735,2.013164050245516
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,refined,1.1961155587097532,2.0155158018877373
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,delta,0.001845925146279681,0.0023517516422213447
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,original,0.3235699060172959,0.40985993105092605
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,refined,0.32685343509519116,0.41454422848953293
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,delta,0.003283529077895253,0.004684297438606877
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,original,1.5583035672129792,0.7248715066995052
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,refined,1.5592502111883306,0.7262098717973792
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,delta,0.00094664397535138,0.0013383650978739947
A,s5_freestyle1,savgol15_p3,4,head,fit,original,0.3678897352649432,0.49064976259025084
A,s5_freestyle1,savgol15_p3,4,head,fit,refined,0.36957069790692987,0.4942619045113524
A,s5_freestyle1,savgol15_p3,4,head,fit,delta,0.001680962641986694,0.0036121419211015415
A,s5_freestyle1,savgol15_p3,5,pelvis,other,original,0.3466148595650991,0.46163657953686016
A,s5_freestyle1,savgol15_p3,5,pelvis,other,refined,0.34962917682316774,0.46482092331451075
A,s5_freestyle1,savgol15_p3,5,pelvis,other,delta,0.003014317258068666,0.003184343777650589
